whitney_no,root,homonym,gloss,ryad_derived,ryad_conf,z_series,z_set,set_derived,z_url,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis
134,kṣad,,divide,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=30,A₁,§66-rule,closed,defective,§67-A1-default
136,kṣap,,be abstinent,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=31,A₁,§66-rule,closed,defective,§67-A1-default
154,khac,,,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=32,A₁,§66-rule,closed,defective,§67-A1-default
156,khad,,be hard,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=33,A₁,§66-rule,closed,defective,§67-A1-default
159,khall,,be relaxed,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=34,L,§66-rule-closed,closed,defective,§67-L-default
167,gad,,say,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=35,A₁,§66-rule,closed,defective,§67-A1-default
168,gadh,,attach,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=36,A₁,§66-rule,closed,defective,§67-A1-default
196,grabh,,seize,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=37,A₁,§66-rule,closed,defective,§67-A1-default
197,gras,,devour,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=38,A₁,§66-rule,closed,defective,§67-A1-default
199,glah,,gamble,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=39,A₁,§66-rule,closed,defective,§67-A1-default
201,ghaṭ,,strive,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=40,A₁,§66-rule,closed,defective,§67-A1-default
202,ghaṭṭ,,rub,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=41,A₁,§66-rule,closed,defective,§67-A1-default
204,ghas,,eat,A₁,medium,A1,aniṭ,,https://samskrtam.ru/z/verb.php?id=42,A₁,§66-rule,closed,defective,§67-A1-default
211,cak,,quake,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=43,A₁,§66-rule,closed,defective,§67-A1-default
213,cakṣ,,see,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=44,A₁,§66-rule,closed,defective,§67-A1-default
215,caṭ,,go,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=45,A₁,§66-rule,closed,defective,§67-A1-default
216,cat,,hide,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=46,A₁,§66-rule,closed,defective,§67-A1-default
239,chad,,cover,A₁,medium,A1,,aniṭ,https://samskrtam.ru/z/verb.php?id=47,A₁,§66-rule,closed,defective,§67-A1-default
246,jakṣ,1,eat,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=48,A₁,§66-rule,closed,defective,§67-A1-default
250,jap,,whisper,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=49,A₁,§66-rule,closed,defective,§67-A1-default
