L_id	k1	hom	headword_iast	base_slp1	base_iast	cue	base_type	deriv_kind	suffix	citation
18655	kftA		kṛtā	kar	kar	von	nominal	denominal-other		ṚV. 2,35,5
18668	kftAya		kṛtāya	kfta	kṛta	von	nominal	denominal-other		ŚAṂK.
18676	kfti	1	kṛti	kftin	kṛtin	von	nominal	denominal-other		MBH. 2,320
18677	kfti	2	kṛti	kar	kar	von	nominal	denominal-other		P. 3,3,94
18678	kfti	3	kṛti	kart	kart	von	nominal	denominal-other		ṚV. 1,168,3
18679	kfti	4	kṛti	kar	kar	von	nominal	denominal-other		MED. t. 12
18681	kftin		kṛtin	kfta	kṛta	von	nominal	taddhita	in	AK. 2,7,5
18682	kftimant		kṛtimant	kfti	kṛti	von	nominal	denominal-other		MBH. 14,1776
18686	kfte		kṛte	kfta	kṛta	von	nominal	denominal-other		N. 9,19
18687	kftena		kṛtena	kfta	kṛta	von	nominal	denominal-other		SĀV. 5,94
18688	kfteyuka		kṛteyuka	kfta	kṛta	von	nominal	denominal-other		BHĀG. P. 9,20,4
18697	kfttivAsa		kṛttivāsa	kfttivAsaISvara	kṛttivāsaīśvara	von	nominal	denominal-other		DVIRŪPAK.
18699	kftnu		kṛtnu	kar	kar	von	nominal	denominal-other		Uṇ. 3,30
18702	kftyakA		kṛtyakā	kftyA	kṛtyā	von	nominal	denominal-other		N. (BOPP) 13,29
18707	kftyavant		kṛtyavant	kftya	kṛtya	von	nominal	denominal-other		MBH. 1,5153
18712	kftrima		kṛtrima	kar	kar	von	nominal	denominal-other		P. 3,3,88
18715	kftvan		kṛtvan	kar	kar	von	nominal	denominal-other		LĀṬY. 2,3,3
18716	kftvas		kṛtvas	kar	kar	von	nominal	denominal-other		P. 5,4,17
18718	kftvya		kṛtvya	kar	kar	von	nominal	denominal-other		ṚV. 6,1,8
18721	kftsnaka		kṛtsnaka	kftsna	kṛtsna	von	nominal	taddhita	ka	ŚĀṄKH. ŚR. 16,29,9
18731	kfntatra		kṛntatra	kart	kart	von	nominal	denominal-other		NIR. 2,22
18733	kfnttavicakzaRA		kṛnttavicakṣaṇā	kart	kart	von	nominal	denominal-other		P. 2,1,72
18736	kfpaR		kṛpaṇ	kfpaRa	kṛpaṇa	von	nominal	denominal-other		
18737	kfpaRa	1	kṛpaṇa	kfpaRa	kṛpaṇa	von	nominal	denominal-other		P. 4,1,45
18737	kfpaRa	1	kṛpaṇa	krap	krap	von	nominal	denominal-other		P. 4,1,45
18740	kfpaRatva		kṛpaṇatva	kfpaRa	kṛpaṇa	von	nominal	taddhita	tva	MBH. 2,1361
18742	kfpaRin		kṛpaṇin	kfpaRa	kṛpaṇa	von	nominal	taddhita	in	P. 5,2,131
18743	kfpaRy		kṛpaṇy	kfpaRa	kṛpaṇa	von	nominal	denominal-other		ṚV. 8,39,4
18744	kfpaRyu		kṛpaṇyu	kfpaRy	kṛpaṇy	von	nominal	denominal-other		NAIGH. 3,16
18746	kfpay		kṛpay	kfpAy	kṛpāy	von	nominal	denominal-other		ṚV. 10,68,10
18747	kfpA		kṛpā	krap	krap	von	nominal	denominal-other		P. 3,3,104
18749	kfpARaka		kṛpāṇaka	kfpARa	kṛpāṇa	von	nominal	taddhita	ka	HĀR. 133
18751	kfpAy		kṛpāy	kfpA	kṛpā	von	nominal	denominal-other		NIR. 2,12
18752	kfpAlu		kṛpālu	kfpA	kṛpā	von	nominal	denominal-other		AK. 3,1,15
18757	kfmi		kṛmi	kram	kram	von	root	krt		Uṇ. 4,123
18758	kfmika		kṛmika	kfmi	kṛmi	von	nominal	taddhita	ika	MBH. 1,1800
18769	kfmiRa		kṛmiṇa	kfmi	kṛmi	von	nominal	denominal-other		P. 5,2,100
18774	kfmimant		kṛmimant	kfmi	kṛmi	von	nominal	denominal-other		P. 8,2,9
18777	kfmila		kṛmila	kfmi	kṛmi	von	nominal	denominal-other		SUŚR. 1,191,7
18779	kfmilikA		kṛmilikā	kfmila	kṛmila	von	nominal	denominal-other		VYUTP. 212
18791	kfmIlaka		kṛmīlaka	kfmi	kṛmi	von	nominal	denominal-other		RĀJAN.
18796	kfSa		kṛśa	karS	karś	von	nominal	denominal-other		P. 8,2,55
18799	kfSatA		kṛśatā	kfSa	kṛśa	von	nominal	taddhita	tA	MBH. 2,1933
18802	kfSanAvant		kṛśanāvant	kfSana	kṛśana	von	nominal	denominal-other		ṚV. 1,126,4
18810	kfSAnu		kṛśānu	karS	karś	von	nominal	denominal-other		Uṇ. 4,2
18813	kfSASva		kṛśāśva	kfSASvi/n	kṛśāśvi/n	von	nominal	denominal-other		MBH. 2,328
18814	kfSikA		kṛśikā	kfSa	kṛśa	von	nominal	denominal-other		RĀJAN.
18815	kfzaka		kṛṣaka	karz	karṣ	von	nominal	denominal-other		Uṇ. 2,39
18819	kfzi		kṛṣi	karz	karṣ	von	nominal	denominal-other		Uṇ. 4,121
18820	kfzika		kṛṣika	kfzi	kṛṣi	von	nominal	taddhita	ika	Uṇ. 2,41
18823	kfzwaja		kṛṣṭaja	karz	karṣ	von	nominal	denominal-other		M. 11,144
18828	kfzwi		kṛṣṭi	karz	karṣ	von	nominal	denominal-other		ṚV. 1,59,5
18830	kfzwiman		kṛṣṭiman	kfzwa	kṛṣṭa	von	nominal	denominal-other		P. 5,1,123
18832	kfzwopta		kṛṣṭopta	karz	karṣ	von	nominal	denominal-other		MBH. 13,4702
18834	kfzR		kṛṣṇ	kfzRa	kṛṣṇa	von	nominal	denominal-other		VOP. 21,7
18835	kfzRa		kṛṣṇa	vizRu	viṣṇu	von	nominal	denominal-other		Uṇ. 3,4
18836	kfzRaka		kṛṣṇaka	kfzRAjina	kṛṣṇājina	von	nominal	denominal-other		P. 5,4,3
18836	kfzRaka		kṛṣṇaka	kfzRa	kṛṣṇa	von	nominal	taddhita	ka	P. 5,4,3
18865	kfzRatA		kṛṣṇatā	kfzRa	kṛṣṇa	von	nominal	taddhita	tA	SUŚR. 1,33,20
18868	kfzRatila		kṛṣṇatila	kfzRatilya^	kṛṣṇatilya^	von	nominal	denominal-other		SUŚR. 2,50,13
18872	kfzRatva		kṛṣṇatva	kfzRa	kṛṣṇa	von	nominal	taddhita	tva	SUŚR. 1,261,1
18894	kfzRaprut		kṛṣṇaprut	pru	pru	von	root	krt		ṚV. 1,140,3
18919	kfzRala		kṛṣṇala	kfzRa	kṛṣṇa	von	nominal	denominal-other		P. 5,2,97
18940	kfzRaSa		kṛṣṇaśa	kfzRa	kṛṣṇa	von	nominal	denominal-other		SĀY.
18964	kfzRAjinin		kṛṣṇājinin	kfzRAjina	kṛṣṇājina	von	nominal	taddhita	in	MBH. 14,2113
18971	kfzRAmiza		kṛṣṇāmiṣa	kfzRAyasa	kṛṣṇāyasa	von	nominal	denominal-other		H. 1038
18972	kfzRAy		kṛṣṇāy	kfzRa	kṛṣṇa	von	nominal	denominal-other		HIT. I, 74
18979	kfzRikA		kṛṣṇikā	kfzRa	kṛṣṇa	von	nominal	denominal-other		AK. 2,9,19
18982	kfzRIkaraRa		kṛṣṇīkaraṇa	kfzRa	kṛṣṇa	von	nominal	denominal-other		SUŚR. 2,175,3
18984	kfzReya		kṛṣṇeya	kfzRa	kṛṣṇa	von	nominal	taddhita	eya	PRAVARĀDHY.
18991	kfzya		kṛṣya	karz	karṣ	von	nominal	denominal-other		RAGH. 9,80
18996	kxpti		kḷpti	kalp	kalp	von	nominal	denominal-other		VS. 18,11
18997	kxptika		kḷptika	kxpti	kḷpti	von	nominal	taddhita	ika	HALĀY.
19003	kekAvala		kekāvala	kekA	kekā	von	nominal	taddhita	vala	ŚABDAC.
19011	ketana		ketana	ketay	ketay	von	nominal	denominal-other		AK. 3,4,18,116
19013	ketay		ketay	keta	keta	von	nominal	denominal-other		DHĀTUP. 35,39
19016	ketu		ketu	ki	ki	von	nominal	denominal-other		Uṇ. 1,73
19021	ketumant		ketumant	ketu	ketu	von	nominal	denominal-other		AV. 13,2,28
19030	kedAraka		kedāraka	kedAra	kedāra	von	nominal	taddhita	ka	SUŚR. 1,195,16
19036	kena		kena	ka	ka	von	nominal	denominal-other		MBH. 13,2167
19048	kepi		kepi	kamp	kamp	von	root	krt		NIR. 5,24
19052	keyUraka		keyūraka	keyUra	keyūra	von	nominal	taddhita	ka	KĀD.
19054	keyUrin		keyūrin	keyUra	keyūra	von	nominal	taddhita	in	MĀRK. P. 23,102
19063	keli		keli	krIq	krīḍ	von	root	krt		Uṇ. 4,119
19064	kelika		kelika	keli	keli	von	nominal	taddhita	ika	WILS.
19090	kevala		kevala	api	api	von	prefix	prefixed		P. 4,1,30
19091	kevalajYAnin		kevalajñānin	kevala	kevala	von	nominal	denominal-other		H. 50
19092	kevalatas		kevalatas	kevala	kevala	von	nominal	taddhita	tas	MIT. 48,13
19097	kevalin		kevalin	kevala	kevala	von	nominal	taddhita	in	BHĀG. P. 4,25,39
19102	keSaka		keśaka	keSa	keśa	von	nominal	taddhita	ka	P. 5,2,66
19136	keSava		keśava	keSa	keśa	von	nominal	denominal-other		P. 5,2,109
19139	keSavant		keśavant	keSa	keśa	von	nominal	denominal-other		P. 5,2,109
19140	keSavapanIya		keśavapanīya	keSa	keśa	von	nominal	denominal-other		ŚAT. BR. 5,5,3,2
19149	keSaveSa		keśaveśa	kavarI	kavarī	von	nominal	denominal-other		P. 4,1,42
19152	keSAkeSi		keśākeśi	keSa	keśa	von	nominal	denominal-other		P. 2,2,27
19155	keSAntika		keśāntika	keSAnta	keśānta	von	nominal	taddhita	ika	M. 2,46
19160	keSi		keśi	keSin	keśin	von	nominal	denominal-other		HARIV. 2360
19161	keSika		keśika	keSa	keśa	von	nominal	taddhita	ika	P. 5,2,109
19163	keSin		keśin	keSa	keśa	von	nominal	taddhita	in	P. 5,2,109
19168	kesaravant		kesaravant	kesara	kesara	von	nominal	denominal-other		ŚAT. BR. 6,2,2,15
19172	kesari		kesari	kesarin	kesarin	von	nominal	denominal-other		R. 4,33,14
19173	kesarikA		kesarikā	kesara	kesara	von	nominal	denominal-other		RĀJAN.
19176	kEMSuka		kaiṃśuka	kiMSuka	kiṃśuka	von	nominal	denominal-other		SUŚR. 2,324,7
19177	kEkaya		kaikaya	kekaya	kekaya	von	nominal	denominal-other		DRAUP. 5,16
19178	kEkasa		kaikasa	kIkasa	kīkasa	von	nominal	denominal-other		P. 4,1,73
19179	kEkeya		kaikeya	kekaya	kekaya	von	nominal	denominal-other		P. 7,3,2
19180	kEMkarAyaRa		kaiṃkarāyaṇa	kiMkara	kiṃkara	von	nominal	denominal-other		P. 4,1,99
19181	kEMkarya		kaiṃkarya	kiMkara	kiṃkara	von	nominal	taddhita	ya	BHĀG. P. 3,2,22
19182	kENkalAyana		kaiṅkalāyana	kiNkala	kiṅkala	von	nominal	denominal-other		P. 4,1,99
19183	kEwa		kaiṭa	kIwa	kīṭa	von	nominal	denominal-other		SUŚR. 2,277,2
19188	kEtaka		kaitaka	ketaka	ketaka	von	nominal	denominal-other		RAGH. 4,55
19189	kEtava		kaitava	kitava	kitava	von	nominal	denominal-other		MBH. 1,7002
19190	kEtavaka		kaitavaka	kEtava	kaitava	von	nominal	taddhita	ka	MBH. 2,2060
19191	kEtavAyana		kaitavāyana	kitava	kitava	von	nominal	denominal-other		P. 4,1,110
19192	kEtaveya		kaitaveya	kitava	kitava	von	nominal	taddhita	eya	HARIV. 5019
19193	kEtAyana		kaitāyana	kita	kita	von	nominal	denominal-other		P. 4,1,110
19194	kEdAra		kaidāra	kedAra	kedāra	von	nominal	denominal-other		SUŚR. 1,173,18
19196	kEMdarBa		kaiṃdarbha	kiMdarBa	kiṃdarbha	von	nominal	denominal-other		P. 4,1,104
19197	kEMdAsa		kaiṃdāsa	kiMdAsa	kiṃdāsa	von	nominal	denominal-other		P. 4,1,104
19202	kErava		kairava	kerala	kerala	von	nominal	denominal-other		H. an. 3,698
19203	kEravin		kairavin	kErava	kairava	von	nominal	taddhita	in	ŚABDAM.
19205	kErAta		kairāta	kirAta	kirāta	von	nominal	denominal-other		MBH. 1,320
19206	kErAtaka		kairātaka	kErAta	kairāta	von	nominal	taddhita	ka	MBH. 2,1867
19209	kEriSi		kairiśi	kiriSa	kiriśa	von	nominal	denominal-other		AIT. BR. 8,28
19210	kErmedura		kairmedura	kE/rmedura	kai/rmedura	von	nominal	denominal-other		P. 4,3,93
19213	kElAta		kailāta	kilAta	kilāta	von	nominal	denominal-other		P. 4,1,104
19216	kEliYja		kailiñja	kiliYja	kiliñja	von	nominal	denominal-other		SUŚR. 2,182,2
19218	kEvartaka		kaivartaka	kEvarta	kaivarta	von	nominal	taddhita	ka	R. 2,83,15
19220	kEvartikA		kaivartikā	kEvarta	kaivarta	von	nominal	denominal-other		RĀJAN.
19224	kEvalya		kaivalya	kevala	kevala	von	nominal	taddhita	ya	AK. 1,1,4,15
19225	kESava		kaiśava	keSava	keśava	von	nominal	denominal-other		RAGH. 17,29
19226	kESika		kaiśika	keSa	keśa	von	nominal	taddhita	ika	SUŚR. 1,27,19
19228	kESina		kaiśina	keSin	keśin	von	nominal	denominal-other		Ind. St. 1,209
19229	kESinya		kaiśinya	keSinI	keśinī	von	nominal	taddhita	ya	P. 4,1,151
19230	kESora		kaiśora	kiSora	kiśora	von	nominal	denominal-other		P. 5,1,129
19231	kESori		kaiśori	kiSora	kiśora	von	nominal	denominal-other		P. 4,1,151
19232	kESorikeya		kaiśorikeya	kiSorikA	kiśorikā	von	nominal	taddhita	eya	P. 4,1,123
19233	kESorya		kaiśorya	kESori	kaiśori	von	nominal	taddhita	ya	P. 4,1,151
19234	kESya		kaiśya	keSa	keśa	von	nominal	taddhita	ya	P. 4,2,48
19236	ko		ko	ku	ku	von	root	krt		
19253	kokilaka		kokilaka	kokila	kokila	von	nominal	taddhita	ka	COLEBR. Misc. Ess. II, 162
19256	kokilahotra		kokilahotra	ko˚	ko˚	von	nominal	denominal-other		Ind. St. 1,469
19270	koca		koca	kuc	kuc	von	root	krt		P. 3,1,140
19273	kowa		koṭa	kuw	kuṭ	von	nominal	denominal-other		P. 4,2,80
19274	kowaka		koṭaka	kuw	kuṭ	von	nominal	denominal-other		BRAHMAVAIV. P.
19279	kowAy		koṭāy	kowA	koṭā	von	nominal	denominal-other		
19280	kowi		koṭi	kuw	kuṭ	von	nominal	denominal-other		Uṇ. 4,119
19281	kowika		koṭika	kowi	koṭi	von	nominal	taddhita	ika	PAÑCAT. 44,25
19289	kowimant		koṭimant	kowi	koṭi	von	nominal	denominal-other		ŚĀK. 185
19293	kowiSa		koṭiśa	kowi	koṭi	von	nominal	denominal-other		AK. 2,9,12
19296	kowIra		koṭīra	kowi	koṭi	von	nominal	denominal-other		ŚKDR.
19315	koTa		kotha	kuT	kuth	von	root	krt		SUŚR. 1,41,9
19317	kodaRqin		kodaṇḍin	kodaRqa	kodaṇḍa	von	nominal	taddhita	in	ŚIV.
19326	kopa		kopa	kup	kup	von	root	krt		SUŚR. 1,5,8
19330	kopana		kopana	kup	kup	von	root	krt		MBH. 1,1354
19331	kopanaka		kopanaka	kopana	kopana	von	nominal	taddhita	ka	RĀJAN.
19332	kopayizRu		kopayiṣṇu	kup	kup	von	root	krt		MBH. 1,6836
19334	kopavant		kopavant	kopa	kopa	von	nominal	denominal-other		COLEBR. Misc. Ess. II, 161
19337	kopin		kopin	kup	kup	von	root	krt		AK. 3,1,32
19339	komala		komala	mal	mal	von	nominal	denominal-other		Uṇ. 1,108
19340	komalaka		komalaka	komala	komala	von	nominal	taddhita	ka	ŚABDAC.
19346	korakita		korakita	koraka	koraka	von	nominal	denominal-other		P. 5,2,36
19352	kolaka		kolaka	kola	kola	von	nominal	taddhita	ka	RĀJAN.
19379	kolvagireya		kolvagireya	kolva	kolva	von	nominal	denominal-other		MBH. 14,2476
19382	koSa		kośa	aRqakoza	aṇḍakoṣa	von	nominal	denominal-other		AK. 3,4,29,223
19382	koSa		kośa	kuS	kuś	Wurzel	root	krt		AK. 3,4,29,223
19396	koSavant		kośavant	koSa	kośa	von	nominal	denominal-other		MBH. 1,5808
19405	koSAtaka		kośātaka	jyotsnikA	jyotsnikā	von	nominal	denominal-other		JAṬĀDH.
19409	koSikA		kośikā	koSa	kośa	von	nominal	denominal-other		H. 1024
19410	koSin		kośin	AmakoSa	āmakośa	von	nominal	denominal-other		SUŚR. 1,58,8
19417	kozWaka		koṣṭhaka	kozWa	koṣṭha	von	nominal	taddhita	ka	WILS.
19420	kozWavant		koṣṭhavant	kozWa	koṣṭha	von	nominal	denominal-other		MBH. 14,1174
19422	kozWAgArika		koṣṭhāgārika	kozWAgAra	koṣṭhāgāra	von	nominal	taddhita	ika	SUŚR. 1,376,8
19424	kozWila		koṣṭhila	kozWa	koṣṭha	von	nominal	denominal-other		SCHIEFNER, Lebensb. 255 (25). 257 (27)
19426	kozWya		koṣṭhya	kozWa	koṣṭha	von	nominal	taddhita	ya	ṚV. PRĀT. 13,1
19428	kosala		kosala	kuSala	kuśala	von	nominal	denominal-other		P. 4,1,171
19430	kohala		kohala	madyaBeda	madyabheda	von	nominal	denominal-other		H. ś. 91
19433	kOkila		kaukila	kokila	kokila	von	nominal	denominal-other		LĀṬY. 5,4
19436	kOkura		kaukura	kukura	kukura	von	nominal	denominal-other		MBH. 2,1804
19440	kOkkuwa		kaukkuṭa	kukkuwa	kukkuṭa	von	nominal	denominal-other		R. 2,91,65
19442	kOkkuwikandala		kaukkuṭikandala	kukkuwa	kukkuṭa	von	nominal	denominal-other		TRIK. 1,2,4
19443	kOkza		kaukṣa	kukzi	kukṣi	von	nominal	denominal-other		P. 4,2,96
19445	kOkzeya		kaukṣeya	kukzi	kukṣi	von	nominal	taddhita	eya	P. 4,3,56
19450	kOcavAra		kaucavāra	kUcavAra	kūcavāra	von	nominal	denominal-other		P. 4,1,104
19451	kOjapa		kaujapa	kujapa	kujapa	von	nominal	denominal-other		P. 6,2,37
19453	kOYjara		kauñjara	kuYjara	kuñjara	von	nominal	denominal-other		MBH. 13,5580
19454	kOYjAyana		kauñjāyana	kO/YjAyanya	kau/ñjāyanya	von	nominal	denominal-other		JAṬĀDH.
19454	kOYjAyana		kauñjāyana	kuYja	kuñja	von	nominal	denominal-other		JAṬĀDH.
19455	kOYji		kauñji	kuYja	kuñja	von	nominal	denominal-other		P. 4,1,98
19456	kOwa	1	kauṭa	kuwi	kuṭi	von	nominal	denominal-other		P. 5,4,95
19457	kOwa	2	kauṭa	kUwa	kūṭa	von	nominal	denominal-other		WILS.
19459	kOwakika		kauṭakika	kUwa	kūṭa	von	nominal	denominal-other		ŚABDAR.
19460	kOwaja		kauṭaja	kuwaja	kuṭaja	von	nominal	denominal-other		SUŚR. 2,415,4
19461	kOwajaBArika		kauṭajabhārika	kuwaja	kuṭaja	von	nominal	denominal-other		P. 5,1,50
19462	kOwajika		kauṭajika	kuwaja	kuṭaja	von	nominal	taddhita	ika	P. 5,1,50
19469	kOwAyana		kauṭāyana	kuwa	kuṭa	von	nominal	denominal-other		P. 4,1,110
19471	kOwika		kauṭika	kUwa	kūṭa	von	nominal	taddhita	ika	P. 4,2,80
19472	kOwilika		kauṭilika	kuwilikA	kuṭilikā	von	nominal	denominal-other		P. 4,4,18
19473	kOwilya		kauṭilya	kuwila	kuṭila	von	nominal	taddhita	ya	VP. 468
19474	kOwIgava		kauṭīgava	kOwIgavya	kauṭīgavya	von	nominal	denominal-other		P. 4,2,111
19475	kOwIgavya		kauṭīgavya	kuwIgu	kuṭīgu	von	nominal	denominal-other		P. 4,1,105
19476	kOwIya		kauṭīya	kUwa	kūṭa	von	nominal	taddhita	Iya	P. 4,2,80
19478	kOwIryA		kauṭīryā	kuwIra	kuṭīra	von	nominal	denominal-other		HARIV. 10245
19479	kOwumba		kauṭumba	kuwumba	kuṭumba	von	nominal	denominal-other		ĀŚV. GṚHY. 2,6
19481	kOwya	1	kauṭya	kuwa	kuṭa	von	nominal	taddhita	ya	P. 4,1,151
19482	kOwya	2	kauṭya	kUwa	kūṭa	von	nominal	taddhita	ya	P. 4,2,80
19483	kOWAra		kauṭhāra	kuWAra	kuṭhāra	von	nominal	denominal-other		P. 4,1,112
19484	kOWArikeya		kauṭhārikeya	kuWArikA	kuṭhārikā	von	nominal	taddhita	eya	P. 4,1,123
19485	kOWuma		kauṭhuma	kuWumi	kuṭhumi	von	nominal	denominal-other		COLEBR. Misc. Ess. I, 17
19486	kOqavika		kauḍavika	kuqava	kuḍava	von	nominal	taddhita	ika	P. 5,1,52
19487	kOqeyaka		kauḍeyaka	kuqyA	kuḍyā	von	nominal	denominal-other		P. 4,2,95
19488	kOqodari		kauḍodari	kuRqodara	kuṇḍodara	von	nominal	denominal-other		PRAVARĀDHY.
19491	kORapa		kauṇapa	kuRapa	kuṇapa	von	nominal	denominal-other		AK. 1,1,1,55
19495	kOReya		kauṇeya	kuRi	kuṇi	von	nominal	taddhita	eya	TS. 2,3,8,1
19496	kORqapAyina		kauṇḍapāyina	kuRqapAyin	kuṇḍapāyin	von	nominal	denominal-other		LĀṬY. 1,4,23
19497	kORqala		kauṇḍala	kuRqala	kuṇḍala	von	nominal	denominal-other		
19500	kORqAgnaka		kauṇḍāgnaka	kuRqAgni	kuṇḍāgni	von	nominal	denominal-other		P. 4,2,126
19501	kORqAyana		kauṇḍāyana	kuRqa	kuṇḍa	von	nominal	denominal-other		P. 4,2,80
19502	kORqina		kauṇḍina	kORqinya	kauṇḍinya	von	nominal	denominal-other		P. 4,2,111
19504	kORqineyaka		kauṇḍineyaka	kuRqina	kuṇḍina	von	nominal	denominal-other		P. 4,2,95
19505	kORqinya		kauṇḍinya	kuRqinI	kuṇḍinī	von	nominal	taddhita	ya	P. 4,1,105
19505	kORqinya		kauṇḍinya	kuRqina	kuṇḍina	von	nominal	taddhita	ya	P. 4,1,105
19506	kORqinyAyana		kauṇḍinyāyana	kORqinya	kauṇḍinya	von	nominal	denominal-other		ŚAT. BR. 14,5,5,20
19510	kORqoparaTa		kauṇḍoparatha	kORqoparaTI/ya	kauṇḍoparathī/ya	von	nominal	denominal-other		P. 5,3,116
19510	kORqoparaTa		kauṇḍoparatha	kuRqoparaTa	kuṇḍoparatha	von	nominal	denominal-other		P. 5,3,116
19511	kORya		kauṇya	kuRi	kuṇi	von	nominal	taddhita	ya	SUŚR. 1,269,21
19513	kOtapa		kautapa	kutapa	kutapa	von	nominal	denominal-other		
19514	kOtaskuta		kautaskuta	kutas	kutas	von	nominal	denominal-other		P. 8,3,48
19516	kOtuka		kautuka	kutuka	kutuka	von	nominal	denominal-other		P. 5,1,130
19522	kOtUhala		kautūhala	kutUhala	kutūhala	von	nominal	denominal-other		P. 5,1,130
19524	kOtomata		kautomata	kutas	kutas	von	nominal	denominal-other		GOBH. 4,5,15
19525	kOtsa		kautsa	kutsa	kutsa	von	nominal	denominal-other		M. 11,249
19526	kOtsAyana		kautsāyana	kutsa	kutsa	von	nominal	denominal-other		P. 4,2,80
19528	kOdAlIka		kaudālīka	kudAla	kudāla	von	nominal	denominal-other		BRAHMAV. P.
19529	kOdravika		kaudravika	kodrava	kodrava	von	nominal	taddhita	ika	RĀJAN.
19531	kOdrAyaRa		kaudrāyaṇa	kO/drAyaRaka	kau/drāyaṇaka	von	nominal	denominal-other		P. 4,2,80
19532	kOdreya		kaudreya	kudri	kudri	von	nominal	taddhita	eya	P. 4,1,136
19533	kOnaKya		kaunakhya	kunaKin	kunakhin	von	nominal	denominal-other		M. 11,49
19534	kOnAmi		kaunāmi	kunAman	kunāman	von	nominal	denominal-other		P. 4,1,96
19535	kOnAmika		kaunāmika	kunAman	kunāman	von	nominal	denominal-other		P. 4,2,116
19536	kOntAyani		kauntāyani	kuntI	kuntī	von	nominal	denominal-other		P. 4,2,80
19537	kOntika		kauntika	kunta	kunta	von	nominal	taddhita	ika	AK. 2,8,2,38
19538	kOntI		kauntī	kunta	kunta	von	nominal	denominal-other		AK. 2,4,4,8
19539	kOnteya		kaunteya	kuntI	kuntī	von	nominal	taddhita	eya	H. ś. 138
19541	kOnda		kaunda	kunda	kunda	von	nominal	denominal-other		AMAR. 54
19542	kOndrAyaRa		kaundrāyaṇa	kO/ndrAyaRaka	kau/ndrāyaṇaka	von	nominal	denominal-other		P. 4,2,80
19543	kOpa		kaupa	kUpa	kūpa	von	nominal	denominal-other		SUŚR. 1,170,11
19545	kOpiYjala		kaupiñjala	kupiYjala	kupiñjala	von	nominal	denominal-other		P. 4,1,112
19546	kOpIna		kaupīna	kUpa	kūpa	von	nominal	denominal-other		AK. 3,4,18,124
19547	kOpInavant		kaupīnavant	kOpIna	kaupīna	von	nominal	denominal-other		HAEB. Chr. 487. fg.
19548	kOputraka		kauputraka	kuputra	kuputra	von	nominal	taddhita	ka	P. 5,1,133
19550	kOpya		kaupya	kUpa	kūpa	von	nominal	taddhita	ya	SUŚR. 1,207,1
19551	kObjya		kaubjya	kubja	kubja	von	nominal	taddhita	ya	SUŚR. 1,95,6
19553	kOmAra		kaumāra	kumAra	kumāra	von	nominal	denominal-other		P. 4,2,13
19554	kOmAraka		kaumāraka	kOmAra	kaumāra	von	nominal	taddhita	ka	MĀRK. P. 11,20
19557	kOmArahArita		kaumārahārita	kumArahArita	kumārahārita	von	nominal	denominal-other		PRAVARĀDHY.
19558	kOmArAyaRa		kaumārāyaṇa	kumAra	kumāra	von	nominal	denominal-other		P. 4,1,99
19559	kOmArika		kaumārika	kumArI	kumārī	von	nominal	taddhita	ika	MBH. 1,4054
19560	kOmArikeya		kaumārikeya	kumArikA	kumārikā	von	nominal	taddhita	eya	P. 4,1,123
19561	kOmuda		kaumuda	kumuda	kumuda	von	nominal	denominal-other		TRIK. 1,1,111
19562	kOmudika		kaumudika	kumuda	kumuda	von	nominal	taddhita	ika	P. 4,2,80
19566	kOmudvateya		kaumudvateya	kumudvatI	kumudvatī	von	nominal	taddhita	eya	RAGH. 18,2
19569	kOmBa		kaumbha	kumBa	kumbha	von	nominal	denominal-other		P. 4,2,75
19572	kOmBAyana		kaumbhāyana	kumBa	kumbha	von	nominal	denominal-other		P. 4,2,80
19573	kOmBAyani		kaumbhāyani	kumBI	kumbhī	von	nominal	denominal-other		P. 4,2,80
19574	kOmBeyaka		kaumbheyaka	kumBI	kumbhī	von	nominal	denominal-other		P. 4,2,95
19575	kOmBya		kaumbhya	kumBa	kumbha	von	nominal	taddhita	ya	P. 4,2,80
19577	kOrayARa		kaurayāṇa	kurayARa	kurayāṇa	von	nominal	denominal-other		ṚV. 8,3,21
19578	kOrava		kaurava	kuru	kuru	von	nominal	denominal-other		P. 4,2,130
19579	kOravaka		kauravaka	kuru	kuru	von	nominal	denominal-other		P. 4,2,130
19580	kOravAyaRi		kauravāyaṇi	kuru	kuru	von	nominal	denominal-other		P. 4,1,154
19583	kOravyAyaRa		kauravyāyaṇa	kOravya	kauravya	von	nominal	denominal-other		PRAVARĀDHY.
19584	kOravyAyaRi		kauravyāyaṇi	kOravya	kauravya	von	nominal	denominal-other		P. 4,1,154
19588	kOrukullaka		kaurukullaka	kurukullA	kurukullā	von	nominal	denominal-other		VYUTP. 210
19591	kOrupaTi		kaurupathi	kurupaTa	kurupatha	von	nominal	denominal-other		KAUŚ. 9
19593	kOrpara		kaurpara	kUrpara	kūrpara	von	nominal	denominal-other		SUŚR. 2,29,7
19595	kOrma		kaurma	kUrma	kūrma	von	nominal	denominal-other		PAÑCAT. III, 20
19596	kOla		kaula	kula	kula	von	nominal	denominal-other		P. 4,2,96
19599	kOlakeya		kaulakeya	kula	kula	von	nominal	denominal-other		ŚABDAR.
19600	kOlawineya		kaulaṭineya	kulawA	kulaṭā	von	nominal	denominal-other		P. 4,1,127
19601	kOlaweya		kaulaṭeya	kulawA	kulaṭā	von	nominal	taddhita	eya	P. 4,1,127
