L_id	headword_slp1	headword	base_slp1	base	suffix	suffix_class	lex	n_citations	dcs_tokens	dcs_attested	citations
108201	sADarmya	sādharmya	saDarma	sadharma	ya	относит./vṛddhi	n.	21	58	True	SIDDH. K.; P. 6,3,84; ŚĀṄKH. ŚR. 13,14,5; BHAG. 14,2; SUŚR. 1,29,16; RAGH. 17,78; VIKR. 65,12; KAṆ. 1,1,4
16940	kAleya	kāleya	kali	kali	eya	относит./vṛddhi	n.	8	55	True	P. 4,2,8; LĀṬY. 3,6,18; ŚĀṄKH. ŚR. 7,24,1; Ind. St. 3,213; P. 4,2,8; Ind. St. 1,80, N. 2; DHANVIN; DRĀHY. 28
16942	kAleya	kāleya	kAlA	kālā	eya	относит./vṛddhi	m.	5	55	True	H. an. 3,485; MED. y. 77; MBH. 3,8719; BHĀG. P. 5,24,30; MBH. 3,8769
115751	svAsTya	svāsthya	svasTa	svastha	ya	относит./vṛddhi	n.	21	55	True	H. 308; ŚABDAR.; ŚKDR.; MBH. 13,4077; R. GORR. 2,16,19; KĀM. NĪTIS. 13,44; RAGH. ed. Calc. 4,14; ŚĀK. 58,5
81868	yAjYika	yājñika	yajYa	yajña	ika	относит./vṛddhi	adj.	39	55	True	ŚĀṄKH. ŚR. 1,2,3; KAUŚ. 73; R. 1,30,19; BHĀG. P. 4,31,10; Ind. St. 2,79; Verz. d. B. H. No. 152; P. 4,2,60; TRIK. 3,3,39
13922	Otsukya	autsukya	utsuka	utsuka	ya	относит./vṛddhi	n.	14	54	True	AK. 3,4,231; H. 314; R. 3,1,4; MBH. 3,114; SĀH. D. 187; SUŚR. 1,321,7; ŚĀK. 103; RAGH. 2,73
7187	aSvya	aśvya	aSva	aśva	ya	относит./vṛddhi	adj.	6	54	True	P. 5,1,4; ṚV. 1,32,12; ŚAT. BR. 14,5,5,17; BṚH. ĀR. UP. 2,5,17; ṚV. 7,67,9; ṚV. 4,41,10
87151	vaMSya	vaṃśya	vaMSa	vaṃśa	ya	относит./vṛddhi	adj.	31	52	True	P. 4,3,54; BHĀG. P. 11,8,32; BHĀG. P. 11,8,32; TRIK. 2,7,1; H. 713; M. 1,61; YĀJÑ. 1,60; R. GORR. 2,66,21
55912	BOtika	bhautika	BUti	bhūti	ika	относит./vṛddhi	m.	3	51	True	TRIK. 1,1,48; Verz. d. Oxf. H. 155,a,14; Z. d. d. m. G. 14,569,5
89472	vAcika	vācika	vAc	vāc	ika	относит./vṛddhi	adj.	13	51	True	P. 5,4,35; VOP. 7,15; MBH. 12,13490; M. 12,9; YĀJÑ. 2,208; SĀH. D. 274; H. 283; Verz. d. Oxf. H. 102,b,31
54446	BAgika	bhāgika	BAga	bhāga	ika	относит./vṛddhi	adj.	5	50	True	P. 5,1,49; SUŚR. 2,13,17; P.; YĀJÑ. 2; RĀJA-TAR. 8,1230
8046	AcamanIya	ācamanīya	Acamana	ācamana	Iya	относит./vṛddhi	adj.	6	50	True	ĀŚV. GṚHY. 4,6; ĀŚV. GṚHY. 1,24; KAUŚ. 90; MBH. 3,13662; INDR. 3,2; VIŚV. 2,16
6846	avya	avya	avi	avi	ya	относит./vṛddhi	adj.	1	48	True	ṚV. 9,109,16
33131	dIpanIya	dīpanīya	dIpana	dīpana	Iya	относит./vṛddhi	adj.	6	48	True	SUŚR. 1,177,17; CAKRAD.; ŚKDR.; RĀJAN.; ŚKDR.; SUŚR. 1,367,5
115412	svarya	svarya	svarI	svarī	ya	относит./vṛddhi	adj.	2	48	True	ṚV. 1,121,4; SUŚR. 1,185,13
52945	buDnya	budhnya	buDna	budhna	ya	относит./vṛddhi	adj.	22	47	True	ṚV. 7,6,7; VS. 13,3; AV. 4,1,1; NAIGH. 5,4; NIR. 10,44; ṚV. 1,52,6; ṚV. 1,186,5; VS. 10,19
10624	uKya	ukhya	uKA	ukhā	ya	относит./vṛddhi	adj.	11	47	True	P. 4,3,54; VS. 14,1; AV. 4,14,2; TS. 5,7,5,1; ŚAT. BR. 6,6,4,10; KĀTY. ŚR. 16,6,15; P. 4,2,17; H. 411
90187	vAravantIya	vāravantīya	vAravant	vāravant	Iya	относит./vṛddhi	n.	8	47	True	P. 5,2,59; TS. 5,5,8,1; TBR. 1,5,12,1; ĀŚV. ŚR. 6,8,12; PAÑCAV. BR. 13,10,4; LĀṬY. 7,4,8; Ind. St. 3,235,a; ebend.
8365	Atyayika	ātyayika	atyaya	atyaya	ika	относит./vṛddhi	adj.	7	47	True	P. 5,4,34; M. 7,165; R. 5,56,62; MBH. 2,218; R. 2,70,3; HIT. 68,18; SUŚR. 1,35,15
35091	dOrmanasya	daurmanasya	durmanas	durmanas	ya	относит./vṛddhi	n.	5	46	True	VYUTP. 44; COLEBR. Misc. Ess. I, 397; VARĀH. BṚH. S. 77,6; PAÑCAT. 9,23; DEV. 1,26
107619	sahasya	sahasya	sahas	sahas	ya	относит./vṛddhi	adj.	14	46	True	ṚV. 1,147,5; AV. 5,29,9; P. 4,4,128; AK. 1,1,3,15; H. 152; HALĀY. 1,114; VS. 7,30; TS. 1,4,14,1
108759	sArUpya	sārūpya	sarUpa	sarūpa	ya	относит./vṛddhi	n.	12	46	True	MBH. 4,1264; MṚCCH. 84,6; SĀH. D. 464; M. 4,18; MĀLATĪM. 76,20; SARVADARŚANAS. 19,2; TS. PRĀT. 14,23; BHĀG. P. 3,29,13
27287	jApya	jāpya	jApa	jāpa	ya	относит./vṛddhi	adj.	5	44	True	VOP. 26,12; BHĀG. P. 1,19,38; MBH. 13,6232; BHĀG. P. 8,3,1; MBH. 12,7260
113066	sOkumArya	saukumārya	sukumAra	sukumāra	ya	относит./vṛddhi	n.	18	44	True	MBH. 3,10987; HARIV. 11149; R. 3,6,13; SUŚR. 1,48,13; Spr. (II) 806; MĀLATĪM. 57,11; KATHĀS. 16,28; DAŚAK. 94,11
34940	dEvatya	daivatya	devatA	devatā	ya	относит./vṛddhi	adj.	7	43	True	YĀJÑ. 1,99; R. 1,19,2; VARĀH. BṚH. S. 99,3; MBH. 1,4571; ŚAṂK.; BṚH. ĀR. UP. p. 59; M. 2,189
44834	pArvatIya	pārvatīya	parvata	parvata	Iya	относит./vṛddhi	adj.	10	43	True	R. 2,71,14; MBH. 7,1574; VP. 192; DRAUP. 8,8; HARIV. 5495; RAGH. 4,77; VARĀH. BṚH. S. 17,17; MBH. 3,1357
16613	kAruRika	kāruṇika	karuRa	karuṇa	ika	относит./vṛddhi	adj.	6	42	True	AK. 3,1,15; MBH. 4,1500; RAGH. 15,71; BHĀG. P. 2,5,9; ŚĀK. 41; BHĀG. P. 5,13,24
113166	sOndarya	saundarya	sundara	sundara	ya	относит./vṛddhi	n.	14	42	True	KUMĀRAS. 1,48; MĀLATĪM. 155,17; Spr. (II) 1592; KATHĀS. 4,7; RĀJA-TAR. 5,148; CAURAP. 30; BHĀG. P. 4,22,61; PRAB. 70,11
108355	sAMnipAtika	sāṃnipātika	saMnipAta	saṃnipāta	ika	относит./vṛddhi	adj.	7	42	True	LĀṬY. 4,8,16; GOBH. 4,5,9; KĀTY. ŚR. 25,5,13; SUŚR. 1,103,9; KUMĀRAS. 2,48; MIT. 224,8; Spr. (II) 4706
28418	taRqulIya	taṇḍulīya	taRqula	taṇḍula	Iya	относит./vṛddhi	m.	10	42	True	P. 5,1,4; AK. 2,4,5,1; H. 1184; MED. y. 118; R. 3,76,25; SUŚR. 1,220,16; H. an.; MED.
95785	vEDarmya	vaidharmya	viDarma	vidharma	ya	относит./vṛddhi	n.	13	42	True	MBH. 3,13235; R. 2,31,24; KAṆ. 1,1,4; NYĀYAS. 1,2,59; KAP. 1,128. fg.; SUŚR. 1,311,11; KUSUM. 30,16; SĀH. D. 647
54448	BAgineya	bhāgineya	BaginI	bhaginī	eya	относит./vṛddhi	f.	8	41	True	AK. 2,6,1,32; H. 543; HALĀY. 2,352; PĀR. GṚHY. 3,10; MBH. 1,2187; RĀJA-TAR. 3,117; KĀTY. ŚR. 422,1 v. u.; PAÑCAT. 231,20
52409	bADirya	bādhirya	baDira	badhira	ya	относит./vṛddhi	n.	8	41	True	P. 5,1,123; Spr. 3949; MBH. 12,10651; SUŚR. 1,257,4; MĀRK. P. 39; TATTVAS. 35; GAUḌAP.; SĀṂKHYAK. 18
26017	cOrya	caurya	cora	cora	ya	относит./vṛddhi	n.	11	41	True	P. 5,1,124; AK. 2,10,26; H. 383; M. 9,276; YĀJÑ. 2,72; MṚCCH. 46,22; PAÑCAT. V, 41; VARĀH. BṚH. S. 52,72
83492	raTya	rathya	raTa	ratha	ya	относит./vṛddhi	adj.	44	41	True	P. 4,3,121; AK. 2,8,2,14; H. 1234; MED. y. 50; ṚV. 2,31,7; ŚAT. BR. 5,4,3,16; ṚV. 1,35,6; ŚĀK. 8
95992	vElakzaRya	vailakṣaṇya	vilakzaRa	vilakṣaṇa	ya	относит./vṛddhi	n.	10	41	True	RĀJA-TAR. 4,635; BHĀG. P. 10,55,29; ŚAṂK.; BṚH. ĀR. UP. S. 8; SĀH. D. 13,10; KUVALAY. 75,a,3; KULL.; M. 1,85
13955	OdArya	audārya	udAra	udāra	ya	относит./vṛddhi	n.	9	40	True	SĀH. D. 95; H. 509; ITIH.; ROSEN; ṚV. 1,18,1; N. 16,13; INDR. 5,33; R. 1,8,25
87077	lOhitya	lauhitya	lohita	lohita	ya	относит./vṛddhi	m.	22	40	True	P. 4,1,105; HARIV. 1771; MED. y. 101; MBH. 2,374; HARIV. 12830; R. 4,40,26; RAGH. 4,81; VARĀH. BṚH. S. 14,6
37711	namasya	namasya	namas	namas	ya	относит./vṛddhi	adj.	10	40	True	ṚV. 1,72,5; AV. 3,4,1; ŚAT. BR. 1,5,2,3; KAṬHOP. 1,9; MBH. 12,2012; HARIV. 9416; PRAB. 106,7; MALAMĀSAT.
96038	vESezika	vaiśeṣika	viSeza	viśeṣa	ika	относит./vṛddhi	adj.	24	40	True	P. 5,4,34; SUŚR. 1,96,20; BHĀṢĀP. 43; NĪLAK. 43; MBH. 7,148; Spr. (II) 375; Verz. d. Oxf. H. 353,b, No. 839; BHĀṢĀP. 104
34991	dESika	daiśika	deSa	deśa	ika	относит./vṛddhi	adj.	7	39	True	BHĀṢĀP. 120; MBH. 12,2162; R. GORR. 2,98,15; MBH. 1,3599; HARIV. 1629; MBH. 13,7556; RĀJA-TAR. 6,303
38361	nAdeya	nādeya	nadI	nadī	eya	относит./vṛddhi	adj.	29	39	True	P. 4,2,97; VOP. 7,15; VS. 16,31; SUŚR. 1,170,11; R. 4,39,12; RĀJAN.; ŚKDR.; AK. 2,4,2,11
30522	tEkzRya	taikṣṇya	tIkzRa	tīkṣṇa	ya	относит./vṛddhi	n.	11	39	True	SUŚR. 1,15,14; ŚĀK. 32,5; SUŚR. 1,149,1; R. 1,38,20; GORR.; M. 4,163; MBH. 13,4990; MBH. 12,4355
31676	dakziRIya	dakṣiṇīya	dakziRA	dakṣiṇā	Iya	относит./vṛddhi	adj.	8	38	True	P. 5,1,69; AK. 3,1,5; H. 446; AV. 8,10,4; ŚAT. BR. 3,5,1,19; HARIV. 2780; VARĀH. BṚH. S. 47,80; MĀLAV. 22,23
22281	gAmBIrya	gāmbhīrya	gamBIra	gambhīra	ya	относит./vṛddhi	adj.	9	38	True	P. 4,3,58; R. 1,1,18; MBH. 13,4637; H. 65; SĀH. D. 93; ŚĀK. 13,12; R. 4,61,58; BHĀG. P. 1,16,29
16716	kArzika	kārṣika	karza	karṣa	ika	относит./vṛddhi	adj.	6	38	True	P. 5,1,64; M. 8,136; YĀJÑ. 1,364; SUŚR. 2,228,9; AK. 2,9,88; MED. ṇ. 93
60285	mAsika	māsika	mAsa	māsa	ika	относит./vṛddhi	adj.	22	38	True	P. 4,3,11; MBH. ed. Bomb. 14,2513; ed. Calc.; M. 5,140; AK. 2,7,31; Verz. d. Oxf. H. 277,b,3; M. 11,157; PAÑCAT. 252,14
96010	vESadya	vaiśadya	viSada	viśada	ya	относит./vṛddhi	n.	8	38	True	RĀJA-TAR. 8,1786; SUŚR. 1,20,18; VĀGBH. 9,9; VARĀH. BṚH. S. 72,2; SARVADARŚANAS. 129,10; SĀY.; MÜLLER, SL. 170; Verz. d. Oxf. H. 241,b, No. 591
8499	ADavanIya	ādhavanīya	ADavana	ādhavana	Iya	относит./vṛddhi	m.	5	38	True	VS. 18,21; TS. 3,2,1,2; AIT. BR. 7,32; ŚAT. BR. 3,9,3,30; KĀTY. ŚR. 9,2,30
8674	AnfRya	ānṛṇya	anfRa	anṛṇa	ya	относит./vṛddhi	n.	10	38	True	M. 9,229; MBH. 3,1242; R. 6,89,22; M. 4,257; SĀV. 5,19; MBH. 3,1258; R. 1,76,2; RAGH. 9,65
8564	Anantarya	ānantarya	anantara	anantara	ya	относит./vṛddhi	n.	7	37	True	KĀTY. ŚR. 4,3,16; ĀŚV. ŚR. 5,8; AV. PRĀT. 1,95; P. 4,1,104; KĀŚ.; M. 10,28; R. 4,23,6
98003	SayanIya	śayanīya	Sayana	śayana	Iya	относит./vṛddhi	adj.	11	37	True	R. 2,72,11; UTTARAR. 51,17 (67,3); AK. 2,6,3,39; H. 682; ĀŚV. GṚHY. 2,7,7; MBH. 13,5041; HARIV. 4785; R. 2,30,45
108863	sAlokya	sālokya	saloka	saloka	ya	относит./vṛddhi	n.	13	36	True	BHĀG. P. 3,29,13; PAÑCAR. 2,7,3; ŚAṂK.; BṚH. ĀR. UP. S. 113; Ind. St. 3,398; MBH. 3,11184; HARIV. 7701; MĀRK. P. 129,35
95629	vEguRya	vaiguṇya	viguRa	viguṇa	ya	относит./vṛddhi	n.	12	36	True	SUŚR. 1,49,11; KĀTY. ŚR. 1,6,14; ĀŚV. ŚR. 12,4,14; ŚAṂK.; CHĀND. UP. S. 33; KULL.; M. 2,144; M. 10,68
98563	SAkalya	śākalya	Sakala	śakala	ya	относит./vṛddhi	m.	24	36	True	P. 4,1,105; ŚAT. BR. 11,6,3,3; ĀŚV. GṚHY. 3,4,4; ŚĀṄKH. GṚHY. 4,10; ṚV. PRĀT. 2,44; VS. PRĀT. 3,9; NIR. 6,28; P. 1,1,16
6008	arDya	ardhya	arD	ardh	ya	относит./vṛddhi	adj.	1	35	True	ṚV. 1,156,1
6009	arDya	ardhya	arDa	ardha	ya	относит./vṛddhi	adj.	1	35	True	P. 4,3,4
33753	durya	durya	dur	dur	ya	относит./vṛddhi	adj.	6	35	True	ṚV. 1,51,14; VS. 5,17; VS. 1,11; TS. 1,6,3,1; ṚV. 10,40,12; ṚV. 7,1,11
16664	kArpaRya	kārpaṇya	kfpaRa	kṛpaṇa	ya	относит./vṛddhi	n.	8	35	True	H. 319; BHAG. 2,7; MBH. 14,1043; R. 5,19,16. fg.; BHARTṚ. Suppl. 6; HIT. I, 125; BHĀG. P. 3,7,9; BHĀG. P. 5,8,10
43995	pAkya	pākya	pAka	pāka	ya	относит./vṛddhi	n.	1	35	True	ṚV. 2,27,11
100978	SEleya	śaileya	SilA	śilā	eya	относит./vṛddhi	adj.	21	35	True	P. 5,3,102; MED. y. 108; AK. 2,4,4,11; H. an. 3,510; MED.; RATNAM. 125; CARAKA 1,3; SUŚR. 2,131,14
41021	nEsargika	naisargika	nisarga	nisarga	ika	относит./vṛddhi	adj.	11	34	True	P. 5,1,101; RAGH. 5,37; Spr. 660; VARĀH. BṚH. 2,18; LAGHUJ. 2,7; RĀJA-TAR. 4,56; BHĀG. P. 7,4,36; PRAB. 104
82598	yOgapadya	yaugapadya	yugapad	yugapad	ya	относит./vṛddhi	n.	11	33	True	ŚĀṄKH. ŚR. 13,14,2; JAIM. 1,9; P. 2,1,6; VOP. 6,58, Anf.; KĀM. NĪTIS. 14,66; SĀH. D. 245,4; PRATĀPAR. 100,a,7; SARVADARŚANAS. 12,12
8652	Anulomya	ānulomya	anuloma	anuloma	ya	относит./vṛddhi	adj.	8	33	True	UŚANAS; DĀY. 108,9; M. 10,5; YĀJÑ. 2,183; P. 3,4,64; P. 3,2,20; SUŚR. 1,250,4; SUŚR. 1,26,18
40946	nErASya	nairāśya	nirASa	nirāśa	ya	относит./vṛddhi	n.	9	32	True	HIT. I, 137; N. 19,7; VID. 260; MBH. 1,8157; R. 6,72,49; RĀJA-TAR. 3,191; MBH. 8,357; R. 4,49,11
13876	Ocitya	aucitya	ucita	ucita	ya	относит./vṛddhi	n.	9	31	True	P. 5,1,123; AK. 3,6,6,39; KATHĀS. 1,11; H. 67; SĀH. D. 28,10; MED. y. 76; MED.; SUŚR. 2,153,17
19685	kOsalya	kausalya	kosala	kosala	ya	относит./vṛddhi	adj.	18	31	True	P. 4,1,171; ŚAT. BR. 13,5,4,4; PRAŚNOP. 3,1; ŚĀṄKH. ŚR. 16,9,13; PRAŚNOP. 1,1; N. 22,8; HARIV. 1081; VP. 282
16937	kAluzya	kāluṣya	kaluza	kaluṣa	ya	относит./vṛddhi	n.	2	31	True	KATHĀS. 19,95; RĀJA-TAR. 5,63
59504	mANgalya	māṅgalya	maNgala	maṅgala	ya	относит./vṛddhi	adj.	24	31	True	ĀŚV. GṚHY. 4,6,6; MBH. 8,4417; SUŚR. 2,419,5; RAGH. 16,87; ŚĀK. 80; PAÑCAR. 2,4,29; KĀTY. ŚR. 356,1; RATNAM. 6
85544	rOkmiReya	raukmiṇeya	rukmiRI	rukmiṇī	eya	относит./vṛddhi	m.	3	31	True	P. 4,1,123; MBH. 1,6997; HARIV. 6718
114338	snEhika	snaihika	sneha	sneha	ika	относит./vṛddhi	adj.	1	31	True	SUŚR. 2,198,2
29417	tAruRya	tāruṇya	taruRa	taruṇa	ya	относит./vṛddhi	n.	11	31	True	AK. 2,6,1,40; H. 339; MBH. 12,4633; R. 5,1,52; BHARTṚ. 1,6; ŚRUT. 34; PAÑCAT. I, 196; MĀRK. P. 24,7
95819	vEparItya	vaiparītya	viparIta	viparīta	ya	относит./vṛddhi	n.	13	31	True	H. 1501; HALĀY. 4,44; Spr. (II) 454; MĀRK. P. 43,34; Verz. d. Oxf. H. 102,b,5; SĀH. D. 12,17; TAITT. PRĀT. 16,26; KAP. 1,60
95975	vErUpya	vairūpya	virUpa	virūpa	ya	относит./vṛddhi	n.	16	31	True	VOP. 7,19; MBH. 5,1627; MĀRK. P. 45,30; ŚAṂK.; BṚH. ĀR. UP. S. 198; YĀJÑ. 3,79; MBH. 3,15912; HARIV. 10863
14558	kaRWya	kaṇṭhya	kaRWa	kaṇṭha	ya	относит./vṛddhi	adj.	8	30	True	P. 6,1,213; VS. 39,9; SUŚR. 2,130,13; SUŚR. 1,219,2; ṚV. PRĀT. 1,8; PĀR. GṚHY. 3,15; P. 1,1,9; VOP. 1,4
20668	kzemya	kṣemya	kzema	kṣema	ya	относит./vṛddhi	adj.	16	30	True	KĀŚ.; ŚAT. BR. 13,1,4,3; AV. 12,2,49; ṚV. 10,28,5; VS. 16,33; PĀR. GṚHY. 3,6; M. 7,212; KULL.
113716	stEmitya	staimitya	stimita	stimita	ya	относит./vṛddhi	n.	7	30	True	RĀJAN.; ŚKDR.; CARAKA 3,8; SUŚR. 2,451,14; UTT. 39; VĀGBH. 1,7; Spr. (II) 6887
29181	tAtparya	tātparya	tatpara	tatpara	ya	относит./vṛddhi	n.	16	30	True	ŚABDĀRTHAKALPATARU; ŚKDR.; BHĀṢĀP. 83; MADHUS.; Ind. St. 1,13,2; JAIM. 1,32; VEDĀNTAS. (Allah.) No. 15; KAP. 1,155
89482	vAcya	vācya	vAc	vāc	ya	относит./vṛddhi	adj.	3	30	True	VS. 13,58; P. 4,1,151; ṚV. 3,38
89832	vAtsalya	vātsalya	vatsala	vatsala	ya	относит./vṛddhi	n.	22	30	True	R. GORR. 2,17,11; VIKR. 147; ŚĀK. 51,16; RĀJA-TAR. 5,21; BHĀG. P. 4,6,35; MĀRK. P. 77,31; WILSON, Sel. Works I, 164; GAUḌA
9462	AvasaTya	āvasathya	AvasaTa	āvasatha	ya	относит./vṛddhi	adj.	7	30	True	Verz. d. B. H. No. 139; MBH. 3,14181; Verz. d. B. H. No. 1065; P. 5,4,23; H. 994; PĀR. GṚHY. 1,2; Z. d. d. m. G. 7,530
99042	SAlAmuKIya	śālāmukhīya	SAlAmuKa	śālāmukha	Iya	относит./vṛddhi	adj.	1	30	True	ŚĀṄKH. ŚR. 5,14,6
32692	dAlBya	dālbhya	dalBa	dalbha	ya	относит./vṛddhi	m.	11	29	True	P. 4,1,105; MBH. 3,8383; PAÑCAV. BR. 13,10,8; KAUṢ. BR. 7,4; CHĀND. UP. 1,2,13; MBH. 2,106; CHĀND. UP. 1,8,1; MATSYA-P.
23601	gOlya	gaulya	gula	gula	ya	относит./vṛddhi	n.	3	29	True	RĀJAN.; ŚKDR.; WILS.
23637	granTika	granthika	granTi	granthi	ika	относит./vṛddhi	m.	23	29	True	TRIK. 3,3,20; H. an. 3,34; MED. k. 80; MBH. 14,2039; MBH. 4,63; TRIK.; H. an.; H. ś. 138
62332	mOrKya	maurkhya	mUrKa	mūrkha	ya	относит./vṛddhi	n.	12	29	True	P. 5,1,123; H. 312; R. 2,36,22; ed. Bomb.; SCHL.; SUŚR. 1,336,10; Spr. 4967; KATHĀS. 2,52
44179	pARqitya	pāṇḍitya	paRqita	paṇḍita	ya	относит./vṛddhi	n.	11	29	True	P. 5,1,123; PRATĀPAR. 3,b,4; ŚAT. BR. 14,6,4,1; MBH. 5,917; MṚCCH. 64,5; Spr. 1030; RĀJA-TAR. 4,624; KATHĀS. 6,121
107901	sAMsidDika	sāṃsiddhika	saMsidDi	saṃsiddhi	ika	относит./vṛddhi	adj.	7	29	True	MBH. 3,1260; NĪLAK.; KAP. 3,20; SĀṂKHYAK. 43; WILSON, SĀṂKHYAK. S. 142; TARKAS. 18; BHĀṢĀP. 38. fg.
102655	zAqguRya	ṣāḍguṇya	zaqguRa	ṣaḍguṇa	ya	относит./vṛddhi	n.	11	28	True	KATHĀS. 54,31; M. 7,58; MBH. 2,142. fg.; HARIV. 5273; VARĀH. BṚH. S. 2, S. 6, Z. 6; YOGAYĀTRĀ 1,13; Ind. St. 10,166; Spr. (II) 6620
34847	deSIya	deśīya	deSa	deśa	Iya	относит./vṛddhi	adj.	11	27	True	HĀR. 20; KĀTY. ŚR. 22,4,22; LĀṬY. 8,6,28; Verz. d. Oxf. H. No. 170; P. 5,3,67; VOP. 7,63; MBH. 12,1119; RAGH. 18,38
61126	muzwika	muṣṭika	muzwi	muṣṭi	ika	относит./vṛddhi	m.	10	27	True	Verz. d. Oxf. H. 86,a,27; R. 2,59,19; H. 908; HALĀY. 2,433; HARIV. 2361. fgg.; VP. 557. fg.; KATHĀS. 47,12; PAÑCAR. 4,1,28
29444	tArpya	tārpya	tfpA	tṛpā	ya	относит./vṛddhi	n.	10	27	True	AV.; AV. 18,4,31; TBR. 1,3,2,1; TS. 2,4,11,6; ŚAT. BR. 5,3,5,20; KĀTY. ŚR. 15,5,7. fgg.; PAÑCAV. BR. 21,1; ŚĀṄKH. ŚR. 16,12,19
87576	vaRijya	vaṇijya	vaRij	vaṇij	ya	относит./vṛddhi	n.	17	27	True	KĀŚ.; SIDDH. K.; P. 5,1,126; TRIK. 3,5,20; HALĀY. 4,76; MĀDHAVA; SIDDH. K.; P. 5,1,126
34922	dErGya	dairghya	dIrGa	dīrgha	ya	относит./vṛddhi	n.	8	26	True	AK. 2,6,3,16; H. 1431; MBH. 6,427; SUŚR. 2,137,19; VARĀH. BṚH. S. 11,33. fgg.; BHĀG. P. 5,16,8; RĀJA-TAR. 1,6; MĀRK. P. 42,13
35961	dvEviDya	dvaividhya	dviviDa	dvividha	ya	относит./vṛddhi	n.	7	26	True	MBH. 15,236; SUŚR. 1,149,16; DEVĪBHĀG. P.; Verz. d. Oxf. H. 81,a,30; KULL.; M. 6,78; BHĀṢĀP. 141
34100	dUtya	dūtya	dUta	dūta	ya	относит./vṛddhi	n.	11	26	True	P. 4,4,120; SIDDH. K.; P. 5,1,126; AK. 2,8,1,16; MED. y. 31; ṚV. 1,161,1; VS. 2,9; HARIV. 6180
19505	kORqinya	kauṇḍinya	kuRqinI	kuṇḍinī	ya	относит./vṛddhi		19	26	True	P. 4,1,105; ŚAT. BR. 14,5,5,20; ĀŚV. ŚR. 12,15; PRAVARĀDHY.; Verz. d. B. H. 58; MBH. 2,111; H. 32; LALIT. 382
19505	kORqinya	kauṇḍinya	kuRqina	kuṇḍina	ya	относит./vṛddhi		19	26	True	P. 4,1,105; ŚAT. BR. 14,5,5,20; ĀŚV. ŚR. 12,15; PRAVARĀDHY.; Verz. d. B. H. 58; MBH. 2,111; H. 32; LALIT. 382
19473	kOwilya	kauṭilya	kuwila	kuṭila	ya	относит./vṛddhi	m.	11	26	True	VP. 468; MALLIN.; KUMĀRAS. 6,37; P. 3,1,23; VOP. 8,87; PAÑCAT. I, 205; YĀJÑ. 3,238; PAÑCAT. 99,9
113415	sOhitya	sauhitya	suhita	suhita	ya	относит./vṛddhi	n.	19	26	True	P. 5,1,128; AK. 2,9,56; H. 426; HĀR. 141; HALĀY. 2,171; ŚĀṄKH. ŚR. 3,8,11; LĀṬY. 5,1,11; MBH. 12,8927
28745	tapasya	tapasya	tapas	tapas	ya	относит./vṛddhi	adj.	17	26	True	KĀTY. ŚR. 25,11,28; P. 4,4,128; AK. 1,1,3,15; H. 153; MED. y. 84; VS. 7,30; ŚAT. BR. 4,3,1,19; SUŚR. 1,19,8
29889	tIrTika	tīrthika	tIrTa	tīrtha	ika	относит./vṛddhi	m.	6	26	True	BURN. Intr. 158, N. 1; LALIT. 5; HIOUEN-THSANG I, 238; WASSILJEW 50; Verz. d. B. H. No. 1356; BURN. Intr. 280
8659	AnuSravika	ānuśravika	anuSrava	anuśrava	ika	относит./vṛddhi	adj.	1	26	True	SĀṂKHYAK. 2
9810	Astika	āstika	asti	asti	ika	относит./vṛddhi	adj.	14	26	True	P. 4,4,60; H. 490; MBH. 1,3088; R. 2,109,37; YĀJÑ. 1,267; SUŚR. 1,123,20; PRAB. 27,9; MADHUS.
32585	dAyAdya	dāyādya	dAyAda	dāyāda	ya	относит./vṛddhi	n.	11	25	True	P. 5,1,124; PĀR. GṚHY. 2,2; ŚĀṄKH. GṚHY. 1,1; P. 6,2,5; M. 11,184; MBH. 1,5669; HARIV. 1497; R. GORR. 2,88,18
116706	hastya	hastya	hasta	hasta	ya	относит./vṛddhi	adj.	7	25	True	P. 5,1,98; TS. 6,1,1,8; KĀṬH. 33,8; AIT. BR. 1,19; ŚAT. BR. 6,2,1,23; ṚV. 2,14,9; TBR. 3,3,8,1
19226	kESika	kaiśika	keSa	keśa	ika	относит./vṛddhi	adj.	21	25	True	SUŚR. 1,27,19; ebend.; ŚABDAR.; JAṬĀDH.; ŚKDR.; LIA. I, 611; Ind. St. 1,209; MBH. 2,585
21145	KARqikya	khāṇḍikya	KaRqika	khaṇḍika	ya	относит./vṛddhi	m.	3	25	True	VP. 645. fgg.; BHĀG. P. 9,13,20; P. 5,1,128
16760	kAlakeya	kālakeya	kAlakA	kālakā	eya	относит./vṛddhi		3	25	True	HARIV. 2286; MBH. 3,8691; HARIV. 12867
44627	pAradArika	pāradārika	paradAra	paradāra	ika	относит./vṛddhi	adj.	7	25	True	YĀJÑ. 2,295; MBH. 2,1130; KATHĀS. 19,48; H. an. 3,486; KĀŚ.; P. 5,2,92; Verz. d. Oxf. H. 215,b,12
113980	sTAnIya	sthānīya	sTAna	sthāna	Iya	относит./vṛddhi	adj.	16	25	True	VEDĀNTAS. (Allah.) No. 54; P. 5,4,10; ĀŚV. GṚHY. 4,2,18; KĀTY. ŚR. 4,11,8; Verz. d. Oxf. H. 216,b,1 v. u.; ŚAṂK.; KAṬHOP. 5,1; BṚH. ĀR. UP. S. 233
