compound_id	compound_lemma	compound_surface	member_count	head_lemma	head_upos	head_case	head_gender	head_number	member_deprels	chapter_ref	text	sentence
cpd:078	mārga-praveka	mārga pravekeṇa	2	praveka	ADJ	Ins	Masc	Sing	-	SaundĀ, 17	Saundarānanda	mārgapravekeṇa sa laukikena kleśadrumaṃ saṃcalayāṃcakāra
cpd:079	anna-dāna	anna dānena	2	dāna	NOUN	Ins	Neut	Sing	-	SkPur (Rkh), Revākhaṇḍa, 102	Skandapurāṇa (Revākhaṇḍa)	annadānena rājendra kīrtitaṃ phalamuttamam
cpd:080	vṛddhipattra-nakhaśastra-mudrikā-utpalapattraka-ardhadhāra	vṛddhipattra nakhaśastra mudrikā utpalapattraka ardhadhārāṇi	5	ardhadhāra	NOUN	Nom	Neut	Plur	-|-|-|-	Su, Sū., 8	Suśrutasaṃhitā	tatra maṇḍalāgrakarapattre syātāṃ chedane lekhane ca vṛddhipattranakhaśastramudrikotpalapattrakārdhadhārāṇi chedane bhedane ca sūcīkuśapattrāṭīmukhaśarārimukhāntarmukhatrikūrcakāni visrāvaṇe kuṭhārikā
cpd:081	bhiṣaj-ādi	bhiṣaj ādīnām	2	ādi	NOUN	Gen	Masc	Plur	-	Su, Sū., 35	Suśrutasaṃhitā	saṃpattau bhiṣagādīnāṃ balasattvāyuṣāṃ tathā
cpd:082	spandana-vivartana-sparśa-asahiṣṇu-tva	spandana vivartana sparśa asahiṣṇu tvam	5	tva	NOUN	Nom	Neut	Sing	-|-|-|-	Su, Nid., 15	Suśrutasaṃhitā	śvayathubāhulyaṃ spandanavivartanasparśāsahiṣṇutvam avapīḍyamāne śabdaḥ srastāṅgatā vividhavedanāprādurbhāvaḥ sarvāsvavasthāsu na śarmalābha iti samāsena kāṇḍabhagnalakṣaṇamuktam
cpd:083	bhramara-añjana-nibha	bhramara añjana nibhāḥ	3	nibha	ADJ	Nom	Masc	Plur	-|-	Su, Cik., 29	Suśrutasaṃhitā	tato 'syānantaraṃ saptarātrāt keśā jāyante bhramarāñjananibhāḥ kuñcitāḥ sthirāḥ snigdhāḥ tatastrirātrāt prathamāvasathaparisarān niṣkramya muhūrtaṃ sthitvā punarevāntaḥ praviśet
cpd:084	yaṣṭimadhukā-miśra	yaṣṭimadhukā miśreṇa	2	miśra	ADJ	Ins	Neut	Sing	-	Su, Cik., 34	Suśrutasaṃhitā	yastūrdhvamadho vā bheṣajavegaṃ pravṛttamajñatvādvinihanti tasyopasaraṇaṃ hṛdi kurvanti doṣāḥ tatra pradhānamarmasantāpādvedanābhir atyarthaṃ pīḍyamāno dantān kiṭakiṭāyate udgatākṣo jihvāṃ khādati pra
cpd:085	dhana-karṣaṇa	dhana karṣaṇam	2	karṣaṇa	NOUN	Nom	Neut	Sing	-	SātT, 7	Sātvatatantra	kathayen me kṣamasveti taddoṣaṃ dhanakarṣaṇam
cpd:086	soma-pītha	soma pīthena	2	pītha	NOUN	Ins	Masc	Sing	nmod	TS, 6, 3, 1	Taittirīyasaṃhitā	te soma pīthena vyārdhyanta
cpd:087	nirvapaṇa-kāla	nirvapana kāle	2	kāla	NOUN	Loc	Masc	Sing	-	VaikhŚS, 8, 4	Vaikhānasaśrautasūtra	nirvapanakāla āgneyam aṣṭākapālaṃ nirvapati saumyaṃ caruṃ sāvitraṃ dvādaśakapālaṃ sārasvataṃ caruṃ pauṣṇaṃ carum ity etāni pañca saṃcarāṇi
cpd:088	vara-da	vara daḥ	2	da	ADJ	Nom	Masc	Sing	-	VaitS, 6, 4	Vaitānasūtra	yadā rāghaṭī varado vyāghraṃ maṅgīradāsa gauḥ
cpd:089	dhyāna-bhaṅga	dhyāna bhaṅgam	2	bhaṅga	NOUN	Acc	Masc	Sing	-	ViPur, 1, 12	Viṣṇupurāṇa	indreṇa saha saṃmantrya dhyānabhaṅgaṃ pracakramuḥ
cpd:090	nāka-pṛṣṭha-gamana	nāka pṛṣṭha gamanam	3	gamana	NOUN	Nom	Neut	Sing	-|-	ViPur, 2, 6	Viṣṇupurāṇa	kva nākapṛṣṭhagamanaṃ punarāvṛttilakṣaṇam
cpd:091	putra-artha	putra arthe	2	artha	NOUN	Loc	Masc	Sing	-	ViPur, 5, 12	Viṣṇupurāṇa	sa tvaṃ gaccha na saṃtāpaṃ putrārthe kartumarhasi
cpd:092	alpa-sāra	alpa sāreṇa	2	sāra	NOUN	Ins	Masc	Sing	-	ViPur, 5, 16	Viṣṇupurāṇa	kimanenālpasāreṇa heṣitāṭopakāriṇā
cpd:093	caraṇa-madhya-gam-bhū	caraṇa madhya gata bhuvam	4	bhū	NOUN	Acc	Masc	Sing	-|-|-	ViSmṛ, 97	Viṣṇusmṛti	tatrāpy asamartho bhagavantaṃ vāsudevaṃ kirīṭinaṃ kuṇḍalinam aṅgadinaṃ śrīvatsāṅkaṃ vanamālāvibhūṣitoraskaṃ saumyarūpaṃ caturbhujaṃ śaṅkhacakragadāpadmadharaṃ caraṇamadhyagatabhuvaṃ dhyāyet
cpd:094	paraspara-artha-tva	paraspara artha tvāt	3	tva	NOUN	Abl	Neut	Sing	-|-	YSBhā zu YS, 2, 28.1	Yogasūtrabhāṣya	tairyagyaunamānuṣadaivatāni ca parasparārthatvād iti
cpd:095	kṣīra-aṅkola-taila	kṣīra aṅkola tailena	3	taila	NOUN	Ins	Neut	Sing	-|-	ĀK, 1, 15	Ānandakanda	sakṣīrāṅkolatailena jalena pariṣecayet
cpd:096	siddha-cakra	siddha cakram	2	cakra	NOUN	Acc	Neut	Sing	-	ĀK, 1, 23	Ānandakanda	pūjayitvā tato devīṃ siddhacakraṃ viśeṣataḥ
cpd:097	ṣaṣṭi-puṭa	ṣaṣṭi puṭāni	2	puṭa	NOUN	Nom	Neut	Plur	-	ŚSDīp zu ŚdhSaṃh, 2, 11, 40.1	Śārṅgadharasaṃhitādīpikā	ṣaṣṭipuṭānyatra śilayaiva saha kāryāṇi natu ciñcāśvatthayor bhasmanā bhasmasaṃskāras tvekadaiva
cpd:098	uda-pātra	uda pātre	2	pātra	NOUN	Loc	Neut	Sing	-	ŚāṅkhGS, 1, 22	Śāṅkhāyanagṛhyasūtra	udapātre 'kṣatān avaninīya viṣṇur yoniṃ kalpayatu rākām aham iti ṣaﾱṛcena pāyayet
cpd:099	śrī-pāka	śṛta pākam	2	pāka	NOUN	Acc	Masc	Sing	-	ṚV, 1, 162	Ṛgveda	sukṛtā tacchamitāraḥ kṛṇvantūta medhaṃ śṛtapākam pacantu
cpd:100	śubha-graha	śubha grahānām	2	graha	NOUN	Gen	Masc	Plur	-	Ṭikanikayātrā, 6	Ṭikanikayātrā	puṣṭir bhavati yiyāsoḥ śubhagrahāṇāṃ navāṅgalagneṣu
