member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
tanu	gargAdiH|kaqArAdiH|svargAdiH	2.2.38|4.1.105|5.1.111	P.2.2.38	1	1
tapanaH	nandyAdiH	3.1.134			
tapas	CatrAdiH	4.4.62			1
taqAga	arDarcAdiH	2.4.31	P.2.4.31	1	1
taqa	kaqArAdiH	2.2.38			
taraNga	puzkarAdiH|tArakAdiH	5.2.135|5.2.36			
taraRa	kaRqvAdiH	3.1.27			1
tarap	tasilAdiH	6.3.35			
tarasA	svarAdiH	1.1.37			
taraw	pacAdiH	3.1.134			
tariRa	kaRqvAdiH	3.1.27			
tarkAra	gOrAdiH	4.1.41			
tarpili	kapilakAdiH	8.2.18			1
tarpilikA	kapilakAdiH	8.2.18			
taru	lomAdiH|vyAGrAdiH	2.1.56|5.2.100	P.2.1.56	1	1
taruRa	gOrAdiH|utsAdiH	4.1.41|4.1.86	P.4.1.41	1	1
tarukza	gargAdiH	4.1.105	P.4.1.105	1	1
taryamAna	irikAdiH	8.4.6			
tasil	tasilAdiH	6.3.35			
tat	cAdiH	1.4.57			1
tatkAla	kASyAdiH	4.2.116			1
tatra	cAdiH|kzipakAdiH	1.4.57|7.3.45			1
tatvagra	gahAdiH	4.2.138			
tawAka	arDarcAdiH	2.4.31	P.2.4.31	1	1
tawa	puzkarAdiH	5.2.135			1
tayaH	vfzAdiH	6.1.203			
tejana	gOrAdiH	4.1.41	P.4.1.41	1	1
telu	KalAdiH	4.2.51			1
tfRa	GozAdiH|SarAdiH|SivAdiH|SuRqikAdiH|arDarcAdiH|kASAdiH|naqAdiH|pASAdiH|pIlvAdiH|tfRAdiH|utkarAdiH	2.4.31|4.1.112|4.1.99|4.2.49|4.2.80|4.2.90|4.2.91|4.3.144|4.3.76|6.2.85|6.3.121	P.2.4.31|P.4.1.112|P.6.2.85	1	1
tfRakar	yaskAdiH	2.4.63			
tfRakarRa	SivAdiH	4.1.112	P.4.1.112	1	1
tfRapadI	kumBapadyAdiH	5.4.139	P.5.4.139	1	1
tfRolapama	pratyAdiH	2.3.43			
tfRopalam	pratyAdiH	2.3.43			
tfkzAka	SivAdiH	4.1.112	P.4.1.112	1	1
tfkza	gargAdiH	4.1.105	P.4.1.105	1	1
tfpat	BfSAdiH	3.1.12	P.3.1.12	1	1
tfpra	suKAdiH	5.2.131			1
tfpta	suKAdiH	3.1.18|5.2.131			1
tfz	tArakAdiH	5.2.36			1
tfzRAvarUtri	vanaspatyAdiH	6.2.140			
tika	naqAdiH|tikAdiH|utkarAdiH	4.1.154|4.1.99|4.2.90	P.4.1.154|P.4.1.99|P.4.2.90	1	1
tikakitavAH	tikakitavAdiH	2.4.68			
til	tasilAdiH	6.3.35			1
tilaka	caturvedAdiH|tArakAdiH	5.1.124|5.2.36			1
tilavrata	mahAnAmnyAdiH	5.1.94			
timirA	irikAdiH	8.4.6			
timira	arDarcAdiH|irikAdiH	2.4.31|8.4.6	P.2.4.31|P.8.4.6	1	1
tiras	kaRqvAdiH|svarAdiH	1.1.37|3.1.27	P.1.1.37	1	1
tisf	svasrAdiH	4.1.10			
titikzA	CatrAdiH	4.4.62			
titikza	gargAdiH	4.1.105	P.4.1.105	1	1
tizWadgu	tizWadgupraBftiH	2.1.17	P.2.1.17	1	1
tomara	arDarcAdiH	2.4.31	P.2.4.31	1	1
toraRa	arDarcAdiH	2.4.31	P.2.4.31	1	1
trEgartAyana	arIhaRAdiH	4.2.80	P.4.2.80	1	1
trEvaRa	utkarAdiH	4.2.90	P.4.2.90	1	1
trat	tasilAdiH	6.3.35			
trayodaSI	sanDivelAdiH	4.3.16			
triBAva	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
tricakrAdInAM CandasyupasaMKyAnam	tricakrAdi	6.2.129			
tricakra	tricakrAdi	6.2.129			1
trigarta	yODeyAdiH	4.1.178|5.3.117	P.5.3.117	1	1
trikaRwaka	rajatAdiH	4.3.154	P.4.3.154	1	1
