k1	also_in_pw_same_source
kalava	
kaliNgaqI	
kalisTAna	
kallAleSo	
kallinArTa	1
kalyARavant	1
kamaRqalutaru	1
kamalasaptamI	1
kamalazazWI	1
kambukeSvaratIrTa	1
kamitar	1
kanTaqi	1
kanUjadeSa	
kanakAyinadI	1
kanakadaRqaka	1
kanakeSvarItIrTa	
kandaka	
kanerin	1
kanhaBawwa	1
kanyAsaMprayuktaka	
kapardIvinAyakavrata	1
kapilakrAkzA	
kapora	
karImARa	
karRAdeSa	
karRaMDAriRI	
karaBIra	1
karaRIsutA	1
karaYjeSvaratIrTa	
karapatravant	
kardameSvara	
karejaRa	
karipatra	
karkacaRqeSvarItantra	
karkarAla	1
karmASrita	
karmaSudDa	
karmamocanItIrTa	
karmavaSin	1
karoweSvaratIrTa	1
karparIka	
katitTAsya	
kavacapatra	
kavalIkar	
kavalay	1
kaviYjuka	
kavitar	1
kavyahotra	
kawidAna	1
kawuSfNgAla	1
kawunizplAva	
kawupatra	
kawuvArtAkI	
keSaRavIRa	
keSavarDinI	
kelikoza	
kesarAmla	1
kfkalASa	
kfmAvantu	
kftimant	1
kftyatattvArRava	1
kfzRaPalapAka	
kfzRaSAra	
kfzRalIlA	1
kfzRasvasar	1
kfzRavIja	
kfzRavarvaraka	
kfzwaBUmi	
kiMBarA	1
kiMBftya	1
kiMmantrin	1
kiMpacAna	1
kiMpaca	1
kiMpraBu	1
kiMpuruzIya	1
kiMvant	1
kiRAlAta	
kiYcanaka	
kimmUrI	
kirImARa	
kirikiccikA	
kitArArjunIya	
koSalika	
koila	
koluha	
kopavant	
koqAyana	
koraRwakagrAma	1
kowikarRa	1
kowwamallika	1
koyaMpurI	1
krImARa	
krOzwika	
krakacapAd	1
krakacapatra	
kroRakavarRa	
kroWin	
krolAyana	
kroqANga	
kroqIkar	
kuRqaNga	1
kuRqalakzyavivfti	1
kuRqaliyA	1
kuRqavihAradeSa	1
kuSAlmali	
kuSumBa	
kudaSA	1
kuddAra	
kudumbarI	1
kugfha	1
kujara	
kukzitaki	
kuladuhitar	1
kulapatra	
kulmAsa	
kumArISa	1
kumBIvIja	
kumBakArakukkuwa	1
kumBavIjaka	
kumBay	1
kumBeSvara	1
kumBinIvIja	
kunareSvara	1
kundakundAcArya	1
kuntaka	
kuquhuYcI	
kurAja	
kurAla	1
kurAwa	
kuraMgama	
kurarISvaratIrTa	1
kurema	
