mw_L	root_iast	k1_slp1	classes	dcs_freq	dcs_rank	dcs_periods	oracle_dicts	oracle_sources
218177	śīk	SIk	1Ā,10				1	pwg
218655	śīl	SIl	1P,10P				2	mw,pwg
219184	śuc	Suc	1P,4P,4Ā	777	216	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
219366	śudh	SuD	1P,1Ā,4P,4Ā	2410	53	V|B|S|E|C	4	mw,pwg,skd,vcp
219616	śubh	SuB	1Ā,6P,6Ā	547	302	RV|AV|V|B|E|C	5	mw,pw,pwg,skd,vcp
219943	śuṣ	Suz	4P	332	873	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
220027	śuṣ	Suz	6P	332	873	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
220772	śṛdh	SfD	1P,1Ā	23	2660	RV|V|B|C	1	mw
220783	śṝ	SF	9P,9Ā				4	krm-body,mw,skd,vcp
221333	śo	So	3P,3Ā,4P,4Ā				2	krm-body,mw
221945	ścut	Scut	1P	13	3371	V|B|S|C	2	mw,pwg
221953	śnath	SnaT	1P	21	2765	RV	3	mw,pw,pwg
222309	śyai	SyE	1P,1Ā				2	mw,vcp
222382	śrath	SraT	9P,9Ā	16	3092	RV|V|B|E|C	2	mw,pwg
222401	śram	Sram	4P	382	450	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
222686	śrā	SrA	1,4P,2P	0		RV|AV|V|B|S|E	3	krm-body,mw,pwg
222829	śri	Sri	1P,1Ā	451	381	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
222857	śrī	SrI	9P,9Ā	1288	253	RV|V|B|S	4	mw,pw,pwg,vcp
223393	śru	Sru	5P,5Ā	10505	9	RV|AV|V|B|S|E|C	6	apte,krm-body,mw,pw,pwg,vcp
223994	ślath	SlaT	1P	2	7668		2	mw,pwg
224011	ślāgh	SlAG	1Ā	186	813	B|E	2	mw,pwg
224043	śliṣ	Sliz	4P,4Ā	92	1291	RV|AV|B|E|C	4	mw,pwg,skd,vcp
224373	śvas	Svas	2P	154	922	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
224480	śvi	Svi	1P				4	krm-body,mw,pwg,vcp
225563	ṣṭhiv	zWiv	1,4P				4	mw,pwg,skd,vcp
228852	sac	sac	1Ā,1P	323	516	RV|AV|V|B|S	2	mw,pwg
229218	sañj	saYj	1P,1Ā				3	mw,pwg,vcp
230505	sad	sad	1,6P	953	176	RV|AV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
231023	san	san	1P,8P,8Ā	196	777	RV|V|B|S|C	4	mw,pw,pwg,vcp
232210	sap	sap	1P,1Ā	23	2640	RV|V|B|S	2	mw,pwg
239787	sas	sas	2P	23	2641	RV		
239967	sah	sah	1Ā,10	791	210	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
241500	sādh	sAD	1P,1Ā,4,5	86	1349	RV|V|B|S|E|C	4	mw,pw,pwg,vcp
241986	sāntv	sAntv	10P,10Ā				2	mw,pwg
243722	si	si	5,9P,9Ā	13	3348	AV|V|E	3	mw,pwg,skd
244032	sic	sic	6P,6Ā	687	239	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
244298	sidh	siD	1P	4056	69	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
244301	sidh	siD	4P	4056	69	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
244996	siv	siv	4P				5	ap,apte,mw,pwg,vcp
245241	su	su	5P,5Ā	878	188	RV|V|B|S|E	5	krm-body,mw,pw,pwg,vcp
250630	suh	suh	4P					
250729	sū	sU	6P,6Ā	532	314	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
250739	sū	sU	2Ā	532	314	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
251301	sūd	sUd	1Ā,10	13	3350	RV|AV|V|B|E	7	ap,krm-body,mw,pw,pwg,skd,vcp
251838	sṛ	sf	1,3P,3Ā,10P,10Ā	204	754	RV|AV|V|B|E|C	4	krm-body,mw,skd,vcp
251924	sṛj	sfj	6P,6Ā	2749	43	RV|AV|V|B|S|E|C	5	ap,apte,mw,skd,vcp
252008	sṛp	sfp	1P	192	792	RV|AV|V|B|S|E|C	3	mw,skd,vcp
252262	sev	sev	1Ā	1328	113	V|B|E|C	4	mw,pwg,skd,vcp
252524	so	so	4P				3	mw,skd,vcp
254077	skand	skand	1P,1Ā	247	635	RV|AV|V|B|S|E	5	mw,pw,pwg,skd,vcp
254241	skambh	skamB	5,9P,1Ā	20	2804	RV|V|B|E|C	4	mw,pw,pwg,skd
254257	sku	sku	5,9P,9Ā	1	10200	RV|AV|S	3	mw,pw,pwg
254272	skhal	sKal	1P	118	1116	B|E|C	4	apte,mw,pwg,vcp
254307	stan	stan	1P	20	2805	RV|AV|V|S|E|C	5	ap,apte,mw,pwg,vcp
254463	stambh	stamB	5,9P,1Ā	291	562	RV|AV|V|B|E|C	4	mw,pw,pwg,vcp
254590	stigh	stiG	5P,5Ā	0			1	mw
254632	stu	stu	2P,2Ā	4408	62	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
254799	stubh	stuB	1P,1Ā	55	1751	RV|V|B|S|E|C	2	mw,pwg
254842	stṛ	stf	5,9P,9Ā,5P,5Ā	334	501	RV|AV|V|B|S|E|C	2	mw,vcp
255154	sthag	sTag	1P	0		C	1	pwg
255316	sthā	sTA	1P,1Ā	9268	12	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
256200	snā	snA	2P,4P,4Ā	1648	86	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
256298	snih	snih	4P,1P,10P	125	1072	RV|V|B|E|C	2	mw,pwg
256456	snu	snu	2P	3	6135	RV|B|S|E|C	4	mw,pw,pwg,vcp
256488	spand	spand	1Ā	52	1809	AV|V|B|E|C	4	mw,pwg,skd,vcp
256521	spardh	sparD	1Ā,1P				2	mw,pwg
256550	spaś	spaS		0			3	mw,pw,pwg
256588	spṛ	spf	5P	160	899	RV|AV|V|B|S	2	krm-body,mw
256602	spṛś	spfS	6P	1059	159	RV|AV|V|B|S|E|C	3	mw,skd,vcp
256712	spṛh	spfh	10P	34	2233	RV|V|S|E	1	mw
256812	sphāy	sPAy	1Ā				6	ap,apte,krm-body,mw,pwg,vcp
256860	sphuṭ	sPuw	6P,1P,1Ā	154	919	B|E|C	5	mw,pw,pwg,skd,vcp
256968	sphur	sPur	6P	357	470		7	ap,apte,mw,pw,pwg,skd,vcp
257015	sphul	sPul	6P				3	mw,pwg,vcp
257075	smi	smi	1Ā	227	692	RV|V|B|S|E|C	3	mw,pwg,vcp
257112	smṛ	smf	1P,1Ā	4142	28	AV|V|B|S|E|C	6	ap,apte,krm-body,mw,skd,vcp
257403	syand	syand	1Ā	106	1179	RV|AV|V|B|S|E|C	5	ap,mw,pwg,skd,vcp
257528	sraṃs	sraMs	1Ā	133	1021	RV|AV|V|B|S|E|C	2	mw,pwg
257618	sriv	sriv	4P					
257621	sru	sru	1P	538	311	RV|AV|V|B|S|E|C	5	krm-body,mw,pwg,skd,vcp
258776	svaj	svaj	1Ā	39	2101	AV|V|B|E|C	1	mw
258787	svad	svad	1Ā,1P	81	1401	RV|V|B|E|C	3	mw,pwg,vcp
258909	svan	svan	1P	19	2877	RV|V|E	6	ap,apte,mw,pw,pwg,vcp
258948	svap	svap	2P	1100	151	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
259802	svid	svid	1Ā,1P	369	460	RV|AV|V|B|E|C	6	ap,apte,krm-body,mw,pwg,vcp
259868	svṛ	svf	1P				2	krm-body,mw
260291	had	had	1P,1Ā	0		E|C	1	pwg
260297	han	han	2P,2Ā,1	8744	14	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
261643	hary	hary	1P,1Ā				3	mw,pw,pwg
262056	has	has	1P	419	407	RV|AV|V|B|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
262501	hā	hA	3Ā	5478	44	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
262507	hā	hA	3P,1	5478	44	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
262717	hi	hi	5P,5Ā	224	699	RV|AV|V|B|S|E|C	6	ap,krm-body,mw,pwg,skd,vcp
262731	hiṃs	hiMs	1,7P,7Ā,10P	788	212	AV|V|B|S|E	2	mw,pwg
263406	hīḍ	hIq	0P,0Ā	29	2371	RV|AV|V|B|E|C	1	pwg
263443	hu	hu	3P,3Ā	6418	17	RV|AV|V|B|S|E|C	8	ap,apte,krm,krm-body,mw,pwg,skd,vcp
263626	hṛ	hf	1P,1Ā	5584	42	RV|AV|V|B|S|E|C	6	ap,apte,krm-body,mw,skd,vcp
263654	hṛ	hf	9Ā	5584	42	RV|AV|V|B|S|E|C	6	ap,apte,krm-body,mw,skd,vcp
263915	hṛṣ	hfz	1P,1Ā,4P	1147	139	RV|AV|V|B|E|C	3	mw,skd,vcp
264415	heṣ	hez	1Ā	26	2497	RV|V|E|C	2	mw,pwg
264643	hnu	hnu	2Ā	6	4475	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
264681	hras	hras	1P,1Ā	28	2410	B|S|C	2	mw,pwg
264747	hrād	hrAd	1Ā	0		B|S|E	5	ap,apte,mw,pwg,vcp
264772	hrī	hrI	3P	28	2411	RV|B|E|C	4	krm-body,pw,pwg,vcp
264815	hreṣ	hrez	1Ā,1P	2	6758	E		
264823	hlag	hlag	1Ā					
264827	hlād	hlAd	1Ā	3	5819	V|B|E|C	4	mw,pw,pwg,vcp
264858	hval	hval	1P	13	3302	S|E|C	2	mw,pwg
264863	hvṛ	hvf	1P,1Ā	48	1878	RV|V|B|C	3	krm-body,mw,vcp
264875	hve	hve	1P,1Ā				3	mw,skd,vcp
