ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
33,rṇ,rR,1217,0.873,snigdhavarṇaḥ,sampūrṇaṃ
34,ndr,ndr,1214,0.871,jagrāhaindraṃ,vilalāpākulendriyaḥ
35,śy,Sy,1193,0.856,vaśyaḥ,paśyaṃs
36,pt,pt,1189,0.853,śokasaṃtapto,saptaikena
37,śv,Sv,1183,0.848,viśvastaḥ,harīśvaraḥ
38,ṣṭh,zW,1177,0.844,niṣṭhitaḥ,jyeṣṭhaṃ
39,cch,cC,1173,0.841,paripapraccha,icchāmy
40,rth,rT,1171,0.840,samarthaś,samartho
41,dr,dr,1146,0.822,samudra,samudra
42,kṣm,kzm,1106,0.793,lakṣmīvāñ,lakṣmaṇo
43,my,my,1067,0.765,icchāmy,vakṣyāmy
44,dv,dv,1056,0.757,vidvān,bharadvājasya
45,ky,ky,1055,0.757,satyavākyo,vākyam
46,ṅg,Ng,1002,0.719,samavibhaktāṅgaḥ,vedavedāṅgatattvajño
47,bhy,By,946,0.678,bibhyati,bhyāgaman
48,dhy,Dy,923,0.662,tapaḥsvādhyāyanirataṃ,dhyāyantīm
49,rś,rS,891,0.639,caikapriyadarśanaḥ,sadaikapriyadarśanaḥ
50,hy,hy,884,0.634,apavāhya,samāruhya
51,nd,nd,878,0.630,kausalyānandavardhanaḥ,sumitrānandavardhanaḥ
52,jy,jy,864,0.620,jyeṣṭhaṃ,yauvarājyena
53,bhr,Br,842,0.604,bhrātā,agastyabhrātaraṃ
54,str,str,825,0.592,sarvaśāstrārthatattvajñaḥ,astreṇonmuham
55,kṣy,kzy,790,0.567,vakṣyāmy,ālakṣya
56,ṣṭv,zwv,717,0.514,dṛṣṭvā,dṛṣṭvā
57,ndh,nD,714,0.512,sindhubhiḥ,devagandharvasaṃkāśās
58,py,py,714,0.512,sītāpy,anuprāpya
59,sr,sr,648,0.465,sahasrāṇi,daśavarṣasahasrāṇi
60,ṅk,Nk,584,0.419,śaṅkitaś,laṅkāṃ
61,ṣp,zp,573,0.411,niṣpiṣya,puṣpakaṃ
62,rd,rd,563,0.404,vacananirdeśāt,caturdaśa
63,rh,rh,562,0.403,śatrunibarhaṇaḥ,gṛdhrarājanibarhaṇam
64,ṇḍ,Rq,555,0.398,daṇḍakān,daṇḍakāraṇyagamanaṃ
65,mbh,mB,525,0.377,gāmbhīrye,tasyābhiṣekasambhārān
66,rdh,rD,524,0.376,kausalyānandavardhanaḥ,sumitrānandavardhanaḥ
67,ts,ts,522,0.374,bībhatsādirasair,dharmavatsalāḥ
68,ly,ly,509,0.365,kausalyānandavardhanaḥ,tulyaṃ
69,mb,mb,503,0.361,kambugrīvo,prasannāmbu
70,ñj,Yj,503,0.361,prāñjaliḥ,kṛtāñjaliḥ
71,khy,Ky,502,0.360,ākhyātuṃ,ākhyānam
72,ṇy,Ry,500,0.359,puṇyaṃ,paṇyaphalatvam
73,gn,gn,492,0.353,kālāgnisadṛśaḥ,agnimadbhir
74,nm,nm,489,0.351,astreṇonmuham,sanmanuṣyamano
75,rg,rg,477,0.342,svargaṃ,mārgamāṇo
76,rj,rj,471,0.338,vyasarjayat,garjaddharivaraḥ
77,ñc,Yc,467,0.335,pañca,abhyaṣiñcat
78,hm,hm,443,0.318,brahmalokaṃ,brahmā
79,pl,pl,405,0.290,pupluve,pratiplavanam
80,mp,mp,387,0.278,jñānasampannaḥ,evaṃguṇasampannaṃ
81,nv,nv,386,0.277,nv,tantrīlayasamanvitaḥ
82,ntr,ntr,386,0.277,mantrisutān,yantriṇas
83,cc,cc,386,0.277,uccāṭṭāladhvajavatīṃ,śiloccayam
84,ghr,Gr,386,0.277,siṃhavyāghravarāhāṇāṃ,śīghram
85,tp,tp,367,0.263,pratyayotpādanaṃ,utpannam
86,dhv,Dv,360,0.258,sādhv,uccāṭṭāladhvajavatīṃ
87,vr,vr,355,0.255,dṛḍhavrataḥ,vrajantaṃ
88,ttv,ttv,329,0.236,vedavedāṅgatattvajño,sarvaśāstrārthatattvajñaḥ
89,ghn,Gn,327,0.235,pāpaghnaṃ,śatrughnaṃ
90,ktv,ktv,326,0.234,uktvā,uktvā
91,ṣv,zv,311,0.223,maheṣvāso,varṇeṣv
92,dbh,dB,309,0.222,sadbhiḥ,agnimadbhir
93,tn,tn,285,0.204,ratnavikṛtaiḥ,sarvaratnasamākīrṇāṃ
94,stv,stv,276,0.198,astv,astv
95,mpr,mpr,272,0.195,sāmprataṃ,samprekṣya
96,sk,sk,270,0.194,mahorasko,yaśaskaraṃ
97,tsth,tsT,253,0.181,kākutstha,kākutstha
98,nty,nty,232,0.166,gāyantyo,vicintya
99,ṣṇ,zR,226,0.162,viṣṇunā,viṣṇur
100,ṣk,zk,226,0.162,kiṣkindhāṃ,anaṅgadaniṣkadhṛk
101,sp,sp,222,0.159,upaspṛśan,upaspṛśyodakaṃ
102,rp,rp,217,0.156,śūrpaṇakhā,śūrpaṇakhāvākyād
103,lp,lp,212,0.152,sarvaśilpibhiḥ,maharṣikalpair
104,sn,sn,207,0.148,snigdhavarṇaḥ,snehād
105,jv,jv,207,0.148,vijvaraḥ,yajvā
106,tk,tk,206,0.148,tvatkṛtā,sanatkumāro
107,tth,tT,196,0.141,samutthāpya,sahasotthāya
108,jr,jr,185,0.133,vajrapāṇinā,vajram
109,kl,kl,185,0.133,aklībaṃ,akliṣṭakarmaṇaḥ
110,dm,dm,183,0.131,vedmi,dadmi
111,rbh,rB,177,0.127,durbhikṣabhayavarjitaḥ,caturbhir
112,kṣṇ,kzR,176,0.126,sutīkṣṇaṃ,sutīkṣṇena
113,cy,cy,173,0.124,pramucyate,tvayocyatām
114,rgh,rG,166,0.119,dīrghadarśī,dīrghāyuṣo
115,bdh,bD,165,0.118,alubdhāḥ,labdhasaṃjñas
116,sty,sty,164,0.118,agastyaṃ,agastyabhrātaraṃ
117,dhr,Dr,155,0.111,gṛdhraṃ,gṛdhraṃ
118,dg,dg,148,0.106,pariṣadgataḥ,pratyudgamya
119,cchr,cCr,148,0.106,yūpocchraye,ucchritān
120,gm,gm,147,0.105,vāgmī,jagmuḥ
121,kṣv,kzv,146,0.105,ikṣvākuvaṃśaprabhavo,ikṣvākūṇām
122,hv,hv,145,0.104,prahvaḥ,bāhvoḥ
123,bd,bd,143,0.103,śabdavedhyaṃ,rājarṣiśabdena
124,gdh,gD,141,0.101,snigdhavarṇaḥ,snigdhaḥ
125,śm,Sm,141,0.101,svaveśma,suniveśitaveśmāntāṃ
126,jj,jj,136,0.098,majjanti,pratyujjagāma
127,kv,kv,134,0.096,kvacit,kvacit
128,thy,Ty,126,0.090,rathyāsu,mithyāpratijñaḥ
129,yy,yy,122,0.087,kaikeyyāḥ,kaikeyyā
130,rśv,rSv,122,0.087,pārśve,pārśve
131,mr,mr,122,0.087,udyānāmravaṇopetāṃ,tāmraṃ
132,ṅkṣ,Nkz,121,0.087,rāmāgamanakāṅkṣayā,darśanākāṅkṣī
133,rc,rc,121,0.087,paramārcite,devavarcasoḥ
134,ll,ll,119,0.085,mallokeṣu,jhillikāgaṇanāditam
135,sph,sP,116,0.083,sphīto,sphītau
136,hr,hr,111,0.080,hrīśrīkīrtyupamāsu,hrīmantaḥ
137,ps,ps,108,0.077,nāpsu,putrepsur
138,ṣṭr,zwr,106,0.076,svarāṣṭrarañjanaṃ,mahārāṣṭravivardhanaḥ
139,tsy,tsy,101,0.072,nivatsyasi,prapatsyate
140,pn,pn,95,0.068,trijaṭāsvapnadarśanam,prāpnuvanti
141,dd,dd,94,0.067,hanūmaddarśanaṃ,uddiśya
142,rk,rk,93,0.067,rkaḥ,atarkitam
143,lm,lm,86,0.062,vālmīkir,vālmīker
