позиция,длина,кластер_iast,кластер_slp1,заголовков
final,2,rph,rP,5
final,2,lbh,lB,5
final,2,lh,lh,5
final,2,sk,sk,5
final,2,śv,Sv,4
final,2,ḍḍ,qq,4
final,2,jjh,jJ,4
final,2,ṇṇ,RR,4
final,2,bd,bd,4
final,2,lk,lk,4
final,2,rg,rg,4
final,2,rbh,rB,3
final,2,lph,lP,3
final,2,hl,hl,3
final,2,tth,tT,3
final,2,khy,Ky,3
final,2,rḍ,rq,3
final,2,dv,dv,3
final,2,śr,Sr,3
final,2,ṇv,Rv,3
final,2,pś,pS,3
final,2,jy,jy,3
final,2,hy,hy,3
final,2,nc,nc,3
final,2,rgh,rG,2
final,2,rm,rm,2
final,2,ggh,gG,2
final,2,rjh,rJ,2
final,2,kkh,kK,2
final,2,lv,lv,2
final,2,hv,hv,2
final,2,mm,mm,2
final,2,dhv,Dv,2
final,2,ddh,dD,2
final,2,thy,Ty,2
final,2,yv,yv,2
final,2,bhy,By,2
final,2,nph,nP,1
final,2,lj,lj,1
final,2,gv,gv,1
final,2,ṇḍh,RQ,1
final,2,ly,ly,1
final,2,lb,lb,1
final,2,hn,hn,1
final,2,ṣkh,zK,1
final,2,ṣṭh,zW,1
final,2,tv,tv,1
final,2,ss,ss,1
final,2,jhjh,JJ,1
final,2,śm,Sm,1
final,2,ṣṇ,zR,1
final,2,dr,dr,1
final,2,ṭhy,Wy,1
final,2,ghv,Gv,1
final,2,gy,gy,1
final,2,sr,sr,1
final,2,cc,cc,1
final,2,ṣp,zp,1
final,2,śy,Sy,1
final,2,ḍḍh,qQ,1
final,2,sv,sv,1
final,2,tt,tt,1
final,2,jñ,jY,1
final,2,rṭ,rw,1
final,2,hm,hm,1
final,2,ghn,Gn,1
final,2,ns,ns,1
final,2,tm,tm,1
final,3,ntr,ntr,20
final,3,ṅkṣ,Nkz,18
final,3,rts,rts,10
final,3,ntv,ntv,8
final,3,rcch,rcC,7
final,3,rkṣ,rkz,5
final,3,ṣṭy,zwy,4
final,3,ttr,ttr,4
final,3,kty,kty,3
final,3,ndr,ndr,3
final,3,sty,sty,3
final,3,rñj,rYj,2
final,3,try,try,2
final,3,ddhy,dDy,2
final,3,rṣy,rzy,1
final,3,kṣy,kzy,1
final,3,nty,nty,1
final,3,tsv,tsv,1
final,3,rtr,rtr,1
final,3,rtt,rtt,1
final,3,tsy,tsy,1
final,3,ndy,ndy,1
final,3,ṇḍv,Rqv,1
final,3,ṣpy,zpy,1
final,3,stv,stv,1
final,3,tty,tty,1
final,3,ṣṇv,zRv,1
final,3,ṣṭhy,zWy,1
final,3,pty,pty,1
final,3,dhny,Dny,1
final,4,rkṣy,rkzy,2
final,4,kṣmy,kzmy,1
