L_id	k1	hom	k2
540	agraparRI		agraparRI

541	agrapUjA		agrapUjA

542	agrapeya		agrapeya

543	agraBaRa		agraBaRa/

544	agraBAga		agraBAga

545	agraBuj		agraBuj

546	agramahizI		agramahizI

547	agramAMsa		agramAMsa

548	agrayAna		agrayAna

549	agrayAyin		agrayAyin

550	agrayAvan		agrayA/van

551	agrayoDin		agrayoDin

552	agralohitA		agralohitA

553	agravIja		agravIja

554	agravIra		agravIra

555	agrasaMDAnI		agrasaMDAnI

556	agrasaMDyA		agrasaMDyA

557	agrasara		agrasara

558	agrasArA		agrasArA

559	agraha		agraha

560	agrahasta		agrahasta

561	agrahAyaRa		agrahAyaRa

562	agrahAra		agrahAra

563	agrAkzan		agrAkzan

564	agrAdvan		agrAdvan

565	agrAnIka		agrAnIka

566	agrAyaRIya		agrAyaRIya

567	agrAhin		agrAhin

568	agrAhya		agrAhya

569	agri		agri/

570	agrima		agrima/

571	agriya		agriya/

572	agrIya		agrI/ya

573	agru		a/gru

574	agre		agre

575	agrega		agrega/

576	agregA		agregA

577	agregU		agregU/

578	agreRI		agreRI/

579	agretvan		agre/tvan

580	agrediDizu		agrediDizu

581	agrepA		agrepA/

582	agrepU		agrepU/

583	agreBrU		agreBrU

584	agrevaRa		agrevaRa

585	agrevaDa		agrevaDa/

586	agresara		agresara

587	agresarika		agresarika

588	agropaharaRa		agropaharaRa

589	agropaharaRIya		agropaharaRIya

590	agrya		a/grya

591	aGa		aGa/

592	aGakft		aGakf/t

593	aGana		aGana

594	aGamarzaRa		aGamarzaRa

595	aGamAra		aGamAra/

596	aGay		aGay

597	aGarud		aGaru/d

598	aGala		aGala/

599	aGavant		aGa/vant

600	aGaviza		aGa/viza

601	aGaSaMsa		aGa/SaMsa

602	aGaSaMsahan		aGaSaMsaha/n

603	aGaSaMsin		aGaSaMsin

604	aGahAra		aGahAra/

605	aGAtin		aGAtin

606	aGAy		aGAy

607	aGAyu		aGAyu/

608	aGArin		aGAri/n

609	aGASva		aGA/Sva

610	aGASva		aGASva/

611	aGAsura		aGAsura

612	aGora		a/Gora

613	aGoraGorarUpa		aGoraGorarUpa

614	aGoracakzus		a/Goracakzus

615	aGoza	1	aGoza
616	aGoza	2	aGoza
617	aGozamahAprARaprayatnavant		aGozamahAprARaprayatnavant

618	aGozavant		aGozavant

619	aGos		aGos

620	aGnant		a/Gnant

621	aGnya		a/Gnya

622	aGnya		aGnya/

623	aGreya		aGreya

624	aNk		aNk

625	aNka		aNka/

626	aNkakaraRa		aNkakaraRa

627	aNkatantra		aNkatantra

628	aNkati		aNka/ti

629	aNkaDAraRA		aNkaDAraRA

630	aNkana		aNkana

631	aNkapAdavrata		aNkapAdavrata

632	aNkapAli		aNkapAli

633	aNkapAlikA		aNkapAlikA

634	aNkapAlI		aNkapAlI

635	aNkabanDa		aNkabanDa

636	aNkay		aNkay

637	aNkaloqya		aNkaloqya

638	aNkas		a/Nkas

639	aNkasa		aNkasa/

640	aNkANka		aNkANka/

641	aNkita		aNkita

642	aNkin		aNki/n

643	aNkI		aNkI

644	aNku		aNku?

645	aNkuwa		aNkuwa

646	aNkupa		aNkupa/

647	aNkura		aNkura/

648	aNkuraka		aNkuraka

649	aNkurita		aNkurita/

650	aNkuSa		aNkuSa/

651	aNkuSagraha		aNkuSagraha

652	aNkuSadurDara		aNkuSadurDara

653	aNkuSita		aNkuSita

654	aNkuSin		aNkuSi/n

655	aNkUyant		aNkUya/nt

656	aNkUra		aNkUra/

657	aNkUza		aNkUza

658	aNkowa		aNkowa

659	aNkoWa		aNkoWa

660	aNkola		aNkola

661	aNkolaka		aNkolaka

662	aNkolikA		aNkolikA

663	aNkollasAra		aNkollasAra

664	aNkya	1	aNkya
665	aNkya	2	aNkya
666	aNKay		aNKay

667	aNg		aNg

668	aNga	1	aNga/
669	aNga	2	a/Nga
670	aNga	3	a/Nga
671	aNga	4	aNga/
672	aNgaka		aNgaka

673	aNgagraha		aNgagraha

674	aNgaja		aNgaja

675	aNgajanus		aNgajanus

676	aNgajvara		aNgajvara/

677	aNgaRa		aNgaRa

678	aNgati		aNgati

679	aNgatva		aNgatva

680	aNgada		aNgada

681	aNgadvIpa		aNgadvIpa

682	aNgana		aNgana

683	aNganA		aNganA/

684	aNganApriya		aNganApriya

685	aNgapAli		aNgapAli

686	aNgaBeda		aNgaBeda/

687	aNgamarda		aNgamarda

688	aNgamardaka		aNgamardaka

689	aNgamardin		aNgamardin

690	aNgay		aNgay

691	aNgarakta		aNgarakta

692	aNgarakzaRI		aNgarakzaRI

693	aNgarAga		aNgarAga

694	aNgarAj		aNgarAj

695	aNgaruha		aNgaruha

696	aNgalipi		aNgalipi

697	aNgalIyalipi		aNgalIyalipi

698	aNgaloka		aNgaloka

699	aNgaloqya		aNgaloqya

700	aNgava		aNgava

701	aNgavikfti		aNgavikfti

702	aNgavikzepa		aNgavikzepa

703	aNgavidyA		aNgavidyA

704	aNgavEkfta		aNgavEkfta

705	aNgasaMskAra		aNgasaMskAra

706	aNgasaMskriyA		aNgasaMskriyA

707	aNgahAra		aNgahAra

708	aNgahAri		aNgahAri

709	aNgahIna		aNgahIna

710	aNgahInatva		aNgahInatva
