headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast	dcs_status	dcs_compound_raw	dcs_prefix_hits	dcs_split	dcs_arity	dcs_freq_sum	seam_no_sandhi	key_form
anAlamba	anālamba	2575	2	a + Alamba	a + ālamba	unattested		0					folded-miss
anAmaka	anāmaka	2535	2	a + nAman	a + nāman	unattested		0					folded-miss
anAman	anāman	2537	2	a + nAman	a + nāman	unattested		0					folded-miss
anAmaya	anāmaya	2539	2	a + Amaya	a + āmaya	prefix-evidence		2					folded-miss
anAmayant	anāmayant	2540	2	a + Amayant	a + āmayant	unattested		0					folded-miss
anAmayitnu	anāmayitnu	2541	2	a + Amayitnu	a + āmayitnu	unattested		0					folded-miss
anAmfRa	anāmṛṇa	2544	2	a + AmfRa	a + āmṛṇa	unattested		0					folded-miss
anAmfta	anāmṛta	2545	2	a + Amfta	a + āmṛta	unattested		0					folded-miss
anAmikA	anāmikā	2542	2	a + nAman	a + nāman	prefix-evidence		2					folded-miss
anAmin	anāmin	2543	2	a + nAmin	a + nāmin	unattested		0					folded-miss
anAnata	anānata	2519	2	a + Anata	a + ānata	unattested		0					folded-miss
anAnuBUti	anānubhūti	2523	2	a + anuBUti	a + anubhūti	unattested		0					folded-miss
anAnuda	anānuda	2521	2	a + anuda	a + anuda	unattested		0					folded-miss
anAnudizwa	anānudiṣṭa	2522	2	a + anudizwa	a + anudiṣṭa	unattested		0					folded-miss
anAnukftya	anānukṛtya	2520	2	a + anukftya	a + anukṛtya	unattested		0					folded-miss
anApAna	anāpāna	2525	2	a + ApAna	a + āpāna	unattested		0					folded-miss
anApUyita	anāpūyita	2527	2	a + ApUyita	a + āpūyita	unattested		0					folded-miss
anApad	anāpad	2524	2	a + Apad	a + āpad	unattested		0					folded-miss
anApi	anāpi	2526	2	a + Api	a + āpi	unattested		0					folded-miss
anApta	anāpta	2528	2	a + Apta	a + āpta	prefix-evidence		1					folded-miss
anApti	anāpti	2529	2	a + Apti	a + āpti	unattested		0					folded-miss
anApya	anāpya	2530	2	a + Apya	a + āpya	unattested		0					folded-miss
anAraByADIta	anārabhyādhīta	2561	2	anAraBya + ADIta	anārabhya + ādhīta	unattested		0					folded-miss
anAraBya	anārabhya	2559	2	a + AraBya	a + ārabhya	unattested		0					folded-miss
anAramBaRa	anārambhaṇa	2563	2	a + AramBaRa	a + ārambhaṇa	unattested		0					folded-miss
anArambaRa	anārambaṇa	2562	2	a + ArambaRa	a + ārambaṇa	unattested		0					folded-miss
anArata	anārata	2558	2	a + Arata	a + ārata	unattested		0					folded-miss
anArjava	anārjava	2565	2	a + Arjava	a + ārjava	unattested		0					folded-miss
anArogya	anārogya	2564	2	a + Arogya	a + ārogya	prefix-evidence		3					folded-miss
anArta	anārta	63478	2	a + Arta	a + ārta	unattested		0					folded-miss
anArtava	anārtava	2566	2	a + Artava	a + ārtava	unattested		0					folded-miss
anArya	anārya	2567	2	a + Arya	a + ārya	prefix-evidence		15					folded-miss
anAryaja	anāryaja	2570	2	anArya + ja	anārya + ja	unattested		0					folded-miss
anAryakarmin	anāryakarmin	2569	2	anArya + karma	anārya + karma	unattested		0					folded-miss
anAryatikta	anāryatikta	2572	2	anArya + tikta	anārya + tikta	unattested		0					folded-miss
anArza	anārṣa	2573	2	a + Arza	a + ārṣa	unattested		0					folded-miss
anArzeya	anārṣeya	2574	2	a + Arzeya	a + ārṣeya	unattested		0					folded-miss
anAs	anās	2594	2	a + As	a + ās	prefix-evidence		4					folded-miss
anAsTAna	anāsthāna	2596	2	a + AsTAna	a + āsthāna	unattested		0					folded-miss
anAsika	anāsika	2595	2	a + nAsikA	a + nāsikā	unattested		0					folded-miss
anAsrAva	anāsrāva	2597	2	a + AsrAva	a + āsrāva	unattested		0					folded-miss
anAtapa	anātapa	2492	2	a + Atapa	a + ātapa	prefix-evidence		2					folded-miss
anAtapa	anātapa	2493	2	a + Atura	a + ātura	prefix-evidence		2					folded-miss
anAtata	anātata	2491	2	a + Atata	a + ātata	unattested		0					folded-miss
anAtmajYa	anātmajña	2495	2	a + AtmajYa	a + ātmajña	prefix-evidence		1					folded-miss
anAtmaka	anātmaka	2494	2	a + Atman	a + ātman	unattested		0					folded-miss
anAtman	anātman	2496	2	a + Atman	a + ātman	prefix-evidence		1					folded-miss
anAtmavant	anātmavant	2498	2	a + Atmavant	a + ātmavant	unattested		0					folded-miss
anAtmya	anātmya	2499	2	a + Atmya	a + ātmya	unattested		0					folded-miss
anAvaraRa	anāvaraṇa	63482	2	a + AvaraRa	a + āvaraṇa	prefix-evidence		1					folded-miss
anAvayA	anāvayā	2576	2	a + avayA	a + avayā	unattested		0					folded-miss
anAvft	anāvṛt	2579	2	a + Avft	a + āvṛt	prefix-evidence		5					folded-miss
anAvftta	anāvṛtta	2580	2	a + Avftta	a + āvṛtta	unattested		0					folded-miss
anAvfzwi	anāvṛṣṭi	2581	2	a + Avfzwi	a + āvṛṣṭi	prefix-evidence		6					folded-miss
anAvidDa	anāviddha	2577	2	a + AvidDa	a + āviddha	unattested		0					folded-miss
anAvila	anāvila	2578	2	a + Avila	a + āvila	unattested		0					folded-miss
anAvraska	anāvraska	2583	2	a + Avraska	a + āvraska	unattested		0					folded-miss
anAvyADa	anāvyādha	2582	2	a + AvyADa	a + āvyādha	unattested		0					folded-miss
anAyAsa	anāyāsa	2552	2	a + AyAsa	a + āyāsa	prefix-evidence		3					folded-miss
anAyaka	anāyaka	2546	2	a + nAyaka	a + nāyaka	unattested		0					folded-miss
anAyata	anāyata	2547	2	a + Ayata	a + āyata	unattested		0					folded-miss
anAyatana	anāyatana	2548	2	a + Ayatana	a + āyatana	unattested		0					folded-miss
anAyatanavant	anāyatanavant	2550	2	a + Ayatanavant	a + āyatanavant	unattested		0					folded-miss
anAyatta	anāyatta	2551	2	a + Ayatta	a + āyatta	prefix-evidence		1					folded-miss
anAyuDa	anāyudha	2554	2	a + AyuDa	a + āyudha	unattested		0					folded-miss
anAyus	anāyus	2557	2	a + Ayus	a + āyus	unattested		0					folded-miss
anAyuzya	anāyuṣya	2556	2	a + Ayuzya	a + āyuṣya	prefix-evidence		1					folded-miss
anAzwra	anāṣṭra	2593	2	a + nAzwrA	a + nāṣṭrā	unattested		0					folded-miss
anDAhi	andhāhi	3481	2	anDa + ahi	andha + ahi	unattested		0					folded-miss
anDAlajI	andhālajī	3480	2	anDa + alajI	andha + alajī	prefix-evidence		1					folded-miss
anDAtamasa	andhātamasa	3479	2	anDa + tamasa	andha + tamasa	unattested		0					folded-miss
anDIBU	andhībhū	3483	2	anDa + BU	andha + bhū	unattested		0					folded-miss
anDIkar	andhīkar	63950	2	anDa + kar	andha + kar	unattested		0					folded-miss
anDaMBAvuka	andhaṃbhāvuka	3474	2	anDam + BAvuka	andham + bhāvuka	unattested		0					folded-miss
anDaMBavizRu	andhaṃbhaviṣṇu	3473	2	anDam + BavizRu	andham + bhaviṣṇu	unattested		0					folded-miss
anDaMkaraRa	andhaṃkaraṇa	3465	2	anDam + karaRa	andham + karaṇa	unattested		0					folded-miss
anDakAra	andhakāra	3459	2	anDa + kAra	andha + kāra	prefix-evidence		4					folded-miss
anDakAri	andhakāri	3461	2	anDaka + ari	andhaka + ari	prefix-evidence		2					folded-miss
anDakAsuhfd	andhakāsuhṛd	3463	2	anDaka + asuhfd	andhaka + asuhṛd	unattested		0					folded-miss
anDakUpa	andhakūpa	3464	2	anDa + kUpa	andha + kūpa	unattested		0					folded-miss
anDakaGAtin	andhakaghātin	3455	2	anDaka + GAtin	andhaka + ghātin	unattested		0					folded-miss
anDakaripu	andhakaripu	3456	2	anDaka + ripu	andhaka + ripu	unattested		0					folded-miss
anDakavarta	andhakavarta	3457	2	anDaka + varta	andhaka + varta	unattested		0					folded-miss
anDamUzikA	andhamūṣikā	3472	2	anDa + mUzikA	andha + mūṣikā	unattested		0					folded-miss
anDapUtanA	andhapūtanā	3471	2	anDa + pUtanA	andha + pūtanā	unattested		0					folded-miss
anDarAtrI	andharātrī	3476	2	anDa + rAtrI	andha + rātrī	unattested		0					folded-miss
anDatAmasa	andhatāmasa	3468	2	anDa + tAmasa	andha + tāmasa	unattested		0					folded-miss
anDatAmisra	andhatāmisra	3469	2	anDa + tAmisra	andha + tāmisra	unattested		0					folded-miss
anDatamasa	andhatamasa	3466	2	anDa + tamasa	andha + tamasa	unattested		0					folded-miss
anDraBftya	andhrabhṛtya	3488	2	anDra + Bftya	andhra + bhṛtya	unattested		0					folded-miss
anESvarya	anaiśvarya	3210	2	a + OSvarya	a + auśvarya	unattested		0					folded-miss
anEpuRa	anaipuṇa	3209	2	a + nEpuRa	a + naipuṇa	unattested		0					folded-miss
anISa	anīśa	2690	2	a + ISa	a + īśa	prefix-evidence		4					folded-miss
anISvara	anīśvara	2693	2	a + ISvara	a + īśvara	prefix-evidence		2					folded-miss
anIcidarSin	anīcidarśin	2687	2	a + nIcidarSin	a + nīcidarśin	unattested		0					folded-miss
anIha	anīha	2695	2	a + IhA	a + īhā	unattested		0					folded-miss
anIkasTa	anīkastha	2685	2	anIka + sTa	anīka + stha	attested	anīkasthaḥ	0	anīka stha	2	2	1	folded
anIkavidAraRa	anīkavidāraṇa	2683	2	anIka + vidAraRa	anīka + vidāraṇa	unattested		0					folded-miss
anIti	anīti	2689	2	a + nIti	a + nīti	prefix-evidence		1					folded-miss
anUDas	anūdhas	3144	2	a + UDas	a + ūdhas	unattested		0					folded-miss
anUQA	anūḍhā	3140	2	a + UQA	a + ūḍhā	unattested		0					folded-miss
anUdaka	anūdaka	3142	2	a + udaka	a + udaka	unattested		0					folded-miss
anUdara	anūdara	63804	2	a + udara	a + udara	unattested		0					folded-miss
anUna	anūna	3145	2	a + Una	a + ūna	prefix-evidence		3					folded-miss
anUnavarcas	anūnavarcas	3147	2	anUna + varcas	anūna + varcas	unattested		0					folded-miss
anUpa	anūpa	3148	2	anu + ap	anu + ap	prefix-evidence		6					folded-miss
anUpaja	anūpaja	3149	2	anUpa + ja	anūpa + ja	unattested		0					folded-miss
anUpasadam	anūpasadam	3151	2	anu + upasad	anu + upasad	unattested		0					folded-miss
anUpasiMha	anūpasiṃha	3152	2	anUpa + siMha	anūpa + siṃha	unattested		0					folded-miss
anUpavilAsa	anūpavilāsa	3150	2	anUpa + vilAsa	anūpa + vilāsa	unattested		0					folded-miss
anUrDvaBAs	anūrdhvabhās	3161	2	a + UrDvaBAs	a + ūrdhvabhās	unattested		0					folded-miss
anUrmi	anūrmi	3162	2	a + Urmi	a + ūrmi	unattested		0					folded-miss
anUru	anūru	3158	2	a + Uru	a + ūru	prefix-evidence		1					folded-miss
anUrusAraTi	anūrusārathi	3160	2	anUru + sAraTi	anūru + sārathi	unattested		0					folded-miss
anUti	anūti	3141	2	a + Uti	a + ūti	unattested		0					folded-miss
anaBISu	anabhīśu	2353	2	a + aBISu	a + abhīśu	unattested		0					folded-miss
anaBiSasta	anabhiśasta	2348	2	a + aBiSasta	a + abhiśasta	unattested		0					folded-miss
anaBiSastenya	anabhiśastenya	2350	2	a + aBiSastenya	a + abhiśastenya	unattested		0					folded-miss
anaBiSasti	anabhiśasti	2349	2	a + aBiSasti	a + abhiśasti	unattested		0					folded-miss
anaBiSastya	anabhiśastya	2351	2	a + aBiSastya	a + abhiśastya	unattested		0					folded-miss
anaBidruh	anabhidruh	2346	2	a + aBidruh	a + abhidruh	unattested		0					folded-miss
anaBihita	anabhihita	2352	2	a + aBihita	a + abhihita	unattested		0					folded-miss
anaBimlAtavarRa	anabhimlātavarṇa	2347	2	anaBimlAta + varRa	anabhimlāta + varṇa	unattested		0					folded-miss
anaBraka	anabhraka	2356	2	a + aBra	a + abhra	unattested		0					folded-miss
anaBri	anabhri	2357	2	a + aBri	a + abhri	unattested		0					folded-miss
anaByArUQa	anabhyārūḍha	2354	2	a + aByArUQa	a + abhyārūḍha	unattested		0					folded-miss
anaByAsamitya	anabhyāsamitya	2355	2	a + aByAsamitya	a + abhyāsamitya	unattested		0					folded-miss
anaDInaka	anadhīnaka	2258	2	a + aDIna	a + adhīna	unattested		0					folded-miss
anaDyakza	anadhyakṣa	2259	2	a + aDyakza	a + adhyakṣa	unattested		0					folded-miss
anaGAzwamI	anaghāṣṭamī	2222	2	anaGa + azwamI	anagha + aṣṭamī	unattested		0					folded-miss
anaGa	anagha	2221	2	a + aGa	a + agha	unattested		0					folded-miss
anaMSa	anaṃśa	2203	2	a + aMSa	a + aṃśa	unattested		0					folded-miss
anaNgApIqa	anaṅgāpīḍa	2233	2	anaNga + ApIqa	anaṅga + āpīḍa	unattested		0					folded-miss
anaNgAsuhfd	anaṅgāsuhṛd	2234	2	anaNga + asuhfd	anaṅga + asuhṛd	unattested		0					folded-miss
anaNga	anaṅga	2224	2	a + aNga	a + aṅga	prefix-evidence		12					folded-miss
anaNgaSeKara	anaṅgaśekhara	2231	2	anaNga + SeKara	anaṅga + śekhara	unattested		0					folded-miss
anaNgakrIqA	anaṅgakrīḍā	2227	2	anaNga + krIqA	anaṅga + krīḍā	unattested		0					folded-miss
anaNgaleKA	anaṅgalekhā	2230	2	anaNga + leKA	anaṅga + lekhā	unattested		0					folded-miss
anaNgamejaya	anaṅgamejaya	2228	2	anaNgam + ejaya	anaṅgam + ejaya	unattested		0					folded-miss
anaNgaraNga	anaṅgaraṅga	2229	2	anaNga + raNga	anaṅga + raṅga	unattested		0					folded-miss
anaNgasenA	anaṅgasenā	2232	2	anaNga + senA	anaṅga + senā	unattested		0					folded-miss
anaNguri	anaṅguri	2235	2	a + aNguri	a + aṅguri	unattested		0					folded-miss
anaNkuSa	anaṅkuśa	2223	2	a + aNkuSa	a + aṅkuśa	unattested		0					folded-miss
anaRu	anaṇu	2247	2	a + aRu	a + aṇu	prefix-evidence		1					folded-miss
anaSanAya	anaśanāya	2441	2	a + aSanAyA	a + aśanāyā	unattested		0					folded-miss
anaSana	anaśana	2439	2	a + aSana	a + aśana	unattested		0					folded-miss
anaSnant	anaśnant	2442	2	a + aSnant	a + aśnant	unattested		0					folded-miss
anaSru	anaśru	2443	2	a + aSru	a + aśru	unattested		0					folded-miss
anaSva	anaśva	2444	2	a + aSva	a + aśva	unattested		0					folded-miss
anaSvara	anaśvara	2448	2	a + naSvara	a + naśvara	unattested		0					folded-miss
anaYjana	anañjana	2238	2	a + aYjana	a + añjana	unattested		0					folded-miss
anacCa	anaccha	2236	2	a + acCa	a + accha	unattested		0					folded-miss
anadDA	anaddhā	2254	2	a + adDA	a + addhā	unattested		0					folded-miss
anadDApuruza	anaddhāpuruṣa	2255	2	a + adDApuruza	a + addhāpuruṣa	unattested		0					folded-miss
anadant	anadant	2253	2	a + adant	a + adant	unattested		0					folded-miss
anadya	anadya	2256	2	a + adya	a + adya	unattested		0					folded-miss
anagAra	anagāra	2213	2	a + agAra	a + agāra	unattested		0					folded-miss
anagna	anagna	2215	2	a + nagna	a + nagna	prefix-evidence		2					folded-miss
anagni	anagni	2217	2	a + agni	a + agni	prefix-evidence		7					folded-miss
anagnidagDa	anagnidagdha	2220	2	a + agnidagDa	a + agnidagdha	unattested		0					folded-miss
anagnitrA	anagnitrā	2219	2	a + agnitrA	a + agnitrā	unattested		0					folded-miss
anahaMkfta	anahaṃkṛta	2465	2	a + ahaMkfta	a + ahaṃkṛta	unattested		0					folded-miss
anahaMkfti	anahaṃkṛti	2466	2	a + ahaMkfti	a + ahaṃkṛti	unattested		0					folded-miss
anahar	anahar	2467	2	a + ahar	a + ahar	unattested		0					folded-miss
anakadunduBa	anakadundubha	2206	2	anaka + dunduBa	anaka + dundubha	unattested		0					folded-miss
anakasmAt	anakasmāt	2207	2	a + akasmAt	a + akasmāt	unattested		0					folded-miss
anakz	anakṣ	2208	2	a + akz	a + akṣ	prefix-evidence		2					folded-miss
anakza	anakṣa	2209	2	a + akza	a + akṣa	prefix-evidence		2					folded-miss
anakzara	anakṣara	2210	2	a + akzara	a + akṣara	prefix-evidence		1					folded-miss
anakzi	anakṣi	2212	2	a + akzi	a + akṣi	unattested		0					folded-miss
anakzika	anakṣika	63344	2	a + akzi	a + akṣi	unattested		0					folded-miss
analAnanda	analānanda	2391	2	anala + Ananda	anala + ānanda	unattested		0					folded-miss
analadIpana	analadīpana	2386	2	anala + dIpana	anala + dīpana	unattested		0					folded-miss
analapraBA	analaprabhā	2387	2	anala + praBA	anala + prabhā	unattested		0					folded-miss
analapriyA	analapriyā	2388	2	anala + priyA	anala + priyā	unattested		0					folded-miss
analasAda	analasāda	2390	2	anala + sAda	anala + sāda	unattested		0					folded-miss
analavAwa	analavāṭa	2389	2	anala + vAwa	anala + vāṭa	unattested		0					folded-miss
analpa	analpa	2393	2	a + alpa	a + alpa	prefix-evidence		6					folded-miss
anamIva	anamīva	2361	2	a + amIva	a + amīva	unattested		0					folded-miss
anambara	anambara	2362	2	a + ambara	a + ambara	unattested		0					folded-miss
anamitaMpaca	anamitaṃpaca	2359	2	a + amitaMpaca	a + amitaṃpaca	unattested		0					folded-miss
anamitra	anamitra	2360	2	a + amitra	a + amitra	prefix-evidence		3					folded-miss
ananDa	anandha	63377	2	a + anDa	a + andha	unattested		0					folded-miss
ananda	ananda	2298	2	a + nanda	a + nanda	unattested		0					folded-miss
ananna	ananna	2299	2	a + anna	a + anna	unattested		0					folded-miss
anantASrama	anantāśrama	2295	2	ananta + ASrama	ananta + āśrama	unattested		0					folded-miss
ananta	ananta	2262	2	a + anta	a + anta	prefix-evidence		86					folded-miss
anantaBawwa	anantabhaṭṭa	2275	2	ananta + Bawwa	ananta + bhaṭṭa	unattested		0					folded-miss
anantaSIrzA	anantaśīrṣā	2293	2	ananta + SIrza	ananta + śīrṣa	unattested		0					folded-miss
anantaSakti	anantaśakti	2292	2	ananta + Sakti	ananta + śakti	prefix-evidence		3					folded-miss
anantaSuzma	anantaśuṣma	2294	2	ananta + Suzma	ananta + śuṣma	unattested		0					folded-miss
anantacAritra	anantacāritra	2266	2	ananta + cAritra	ananta + cāritra	unattested		0					folded-miss
anantadeva	anantadeva	2273	2	ananta + deva	ananta + deva	unattested		0					folded-miss
anantadfzwi	anantadṛṣṭi	2272	2	ananta + dfzwi	ananta + dṛṣṭi	prefix-evidence		1					folded-miss
anantaga	anantaga	2265	2	ananta + ga	ananta + ga	unattested		0					folded-miss
anantajit	anantajit	2267	2	ananta + jit	ananta + jit	unattested		0					folded-miss
anantakara	anantakara	2264	2	ananta + kara	ananta + kara	unattested		0					folded-miss
anantamati	anantamati	2277	2	ananta + mati	ananta + mati	unattested		0					folded-miss
anantanemi	anantanemi	2274	2	ananta + nemi	ananta + nemi	unattested		0					folded-miss
anantarASi	anantarāśi	2284	2	ananta + rASi	ananta + rāśi	unattested		0					folded-miss
anantarAma	anantarāma	2282	2	ananta + rAma	ananta + rāma	unattested		0					folded-miss
anantarAyam	anantarāyam	2283	2	a + antarAya	a + antarāya	unattested		0					folded-miss
anantara	anantara	2278	2	a + antara	a + antara	prefix-evidence		8					folded-miss
anantarajAta	anantarajāta	2280	2	anantara + jAta	anantara + jāta	unattested		0					folded-miss
anantaraja	anantaraja	2279	2	anantara + ja	anantara + ja	unattested		0					folded-miss
anantatIrTa	anantatīrtha	2269	2	ananta + tIrTa	ananta + tīrtha	unattested		0					folded-miss
anantatIrTakft	anantatīrthakṛt	2270	2	ananta + tIrTakft	ananta + tīrthakṛt	unattested		0					folded-miss
anantatftIyA	anantatṛtīyā	2271	2	ananta + tftIyA	ananta + tṛtīyā	unattested		0					folded-miss
anantavIrya	anantavīrya	2290	2	ananta + vIrya	ananta + vīrya	attested	anantavīryaḥ	0	ananta vīrya	2	4	1	folded
anantavant	anantavant	2286	2	a + antavant	a + antavant	unattested		0					folded-miss
anantavarman	anantavarman	2287	2	ananta + varman	ananta + varman	unattested		0					folded-miss
anantavijaya	anantavijaya	2289	2	ananta + vijaya	ananta + vijaya	unattested		0					folded-miss
anantavikramin	anantavikramin	2288	2	ananta + vikrama	ananta + vikrama	unattested		0					folded-miss
anantavrata	anantavrata	2291	2	ananta + vrata	ananta + vrata	unattested		0					folded-miss
ananteSvara	ananteśvara	2296	2	ananta + ISvara	ananta + īśvara	unattested		0					folded-miss
ananvaya	ananvaya	63380	2	a + anvaya	a + anvaya	unattested		0					folded-miss
ananyAdfSa	ananyādṛśa	2309	2	a + anyAdfSa	a + anyādṛśa	unattested		0					folded-miss
ananyAnuBava	ananyānubhava	2310	2	ananya + anuBava	ananya + anubhava	unattested		0					folded-miss
ananya	ananya	2300	2	a + anya	a + anya	prefix-evidence		39					folded-miss
ananyacinta	ananyacinta	2303	2	ananya + cintA	ananya + cintā	unattested		0					folded-miss
ananyagatika	ananyagatika	2302	2	a + anyagati	a + anyagati	unattested		0					folded-miss
ananyaja	ananyaja	2304	2	a + anyaja	a + anyaja	prefix-evidence		2					folded-miss
ananyamAnasa	ananyamānasa	2307	2	ananya + mAnasa	ananya + mānasa	unattested		0					folded-miss
ananyapUrvA	ananyapūrvā	2306	2	a + anyapUrva	a + anyapūrva	unattested		0					folded-miss
ananyavftti	ananyavṛtti	2308	2	ananya + vftti	ananya + vṛtti	unattested		0					folded-miss
anapAkarman	anapākarman	2336	2	a + apAkarman	a + apākarman	unattested		0					folded-miss
anapAvft	anapāvṛt	2339	2	a + apAvft	a + apāvṛt	prefix-evidence		1					folded-miss
anapAya	anapāya	2337	2	a + apAya	a + apāya	unattested		0					folded-miss
anapAyin	anapāyin	2338	2	a + apAyin	a + apāyin	unattested		0					folded-miss
anapa	anapa	2311	2	a + ap	a + ap	prefix-evidence		3					folded-miss
anapacyuta	anapacyuta	2314	2	a + apacyuta	a + apacyuta	unattested		0					folded-miss
anapaga	anapaga	63381	2	a + apaga	a + apaga	unattested		0					folded-miss
anapajayyam	anapajayyam	2315	2	a + apajayya	a + apajayya	unattested		0					folded-miss
anapakarman	anapakarman	2312	2	a + apakarman	a + apakarman	unattested		0					folded-miss
anapakriyA	anapakriyā	2313	2	a + apakriyA	a + apakriyā	unattested		0					folded-miss
anapanihitam	anapanihitam	2320	2	a + apanihita	a + apanihita	unattested		0					folded-miss
anaparADa	anaparādha	2324	2	a + aparADa	a + aparādha	unattested		0					folded-miss
anaparAdDam	anaparāddham	2323	2	a + aparAdDa	a + aparāddha	unattested		0					folded-miss
anapara	anapara	2322	2	a + apara	a + apara	unattested		0					folded-miss
anapasPur	anapasphur	2332	2	a + apasPur	a + apasphur	unattested		0					folded-miss
anapasPura	anapasphura	2333	2	a + apasPura	a + apasphura	unattested		0					folded-miss
anapasPurant	anapasphurant	2334	2	a + apasPurant	a + apasphurant	unattested		0					folded-miss
anapasara	anapasara	2329	2	a + apasara	a + apasara	unattested		0					folded-miss
anapasaraRa	anapasaraṇa	2330	2	a + apasaraRa	a + apasaraṇa	unattested		0					folded-miss
anapaspfS	anapaspṛś	2331	2	a + apaspfS	a + apaspṛś	unattested		0					folded-miss
anapatya	anapatya	2316	2	a + apatya	a + apatya	prefix-evidence		1					folded-miss
anapatyavant	anapatyavant	2318	2	a + apatyavant	a + apatyavant	unattested		0					folded-miss
anapavAcana	anapavācana	2326	2	a + apavAcana	a + apavācana	unattested		0					folded-miss
anapavfjya	anapavṛjya	2327	2	a + apavfjya	a + apavṛjya	unattested		0					folded-miss
anapavyayant	anapavyayant	2328	2	a + apavyayant	a + apavyayant	unattested		0					folded-miss
anapekza	anapekṣa	2340	2	a + apekzA	a + apekṣā	unattested		0					folded-miss
anapekzin	anapekṣin	2341	2	a + apekzin	a + apekṣin	unattested		0					folded-miss
anapeta	anapeta	2342	2	a + apeta	a + apeta	unattested		0					folded-miss
anapnas	anapnas	2344	2	a + apnas	a + apnas	unattested		0					folded-miss
anapta	anapta	2343	2	a + apta	a + apta	unattested		0					folded-miss
anaqudvrata	anaḍudvrata	63355	2	anaqvAh + vrata	anaḍvāh + vrata	unattested		0					folded-miss
anaqujjihvA	anaḍujjihvā	2239	2	anaquh + jihvA	anaḍuh + jihvā	unattested		0					folded-miss
anaqvAh	anaḍvāh	2245	2	anas + vAh	anas + vāh	unattested		0					folded-miss
anarGa	anargha	2367	2	a + arGa	a + argha	prefix-evidence		1					folded-miss
anarGarAGava	anargharāghava	2368	2	anarGa + rAGava	anargha + rāghava	unattested		0					folded-miss
anarGya	anarghya	2369	2	a + arDya	a + ardhya	unattested		0					folded-miss
anarSa	anarśa	2381	2	a + arSa	a + arśa	unattested		0					folded-miss
anarSarAti	anarśarāti	2383	2	anarSa + rAti	anarśa + rāti	unattested		0					folded-miss
anarTa	anartha	2370	2	a + arTa	a + artha	prefix-evidence		16					folded-miss
anarTajYa	anarthajña	63405	2	a + arTajYa	a + arthajña	prefix-evidence		1					folded-miss
anarTaka	anarthaka	2372	2	a + arTa	a + artha	unattested		0					folded-miss
anarTalupta	anarthalupta	2375	2	anarTa + lupta	anartha + lupta	unattested		0					folded-miss
anarTanASin	anarthanāśin	2374	2	anarTa + nASin	anartha + nāśin	unattested		0					folded-miss
anarTin	anarthin	63407	2	a + arTin	a + arthin	unattested		0					folded-miss
anarTya	anarthya	2376	2	a + arTya	a + arthya	prefix-evidence		1					folded-miss
anaraRya	anaraṇya	2364	2	a + araRya	a + araṇya	unattested		0					folded-miss
anargala	anargala	2366	2	a + argala	a + argala	prefix-evidence		2					folded-miss
anarha	anarha	2384	2	a + arha	a + arha	prefix-evidence		2					folded-miss
anarpaRa	anarpaṇa	2377	2	a + arpaRa	a + arpaṇa	unattested		0					folded-miss
anarus	anarus	2365	2	a + arus	a + arus	unattested		0					folded-miss
anarva	anarva	2378	2	a + arva	a + arva	unattested		0					folded-miss
anarvan	anarvan	2379	2	a + arvan	a + arvan	unattested		0					folded-miss
anarviS	anarviś	2380	2	anas + viS	anas + viś	unattested		0					folded-miss
anasTa	anastha	2460	2	a + asTa	a + astha	unattested		0					folded-miss
anasTan	anasthan	2461	2	a + asTan	a + asthan	unattested		0					folded-miss
anasTi	anasthi	2462	2	a + asTi	a + asthi	unattested		0					folded-miss
anasTika	anasthika	2463	2	a + asTi	a + asthi	unattested		0					folded-miss
anasUri	anasūri	2458	2	a + asUri	a + asūri	unattested		0					folded-miss
anasUyA	anasūyā	2456	2	a + asUyA	a + asūyā	prefix-evidence		4					folded-miss
anasUya	anasūya	2454	2	a + asUyA	a + asūyā	prefix-evidence		1					folded-miss
anasUyu	anasūyu	2457	2	a + asUyu	a + asūyu	unattested		0					folded-miss
anastamita	anastamita	2459	2	a + astamita	a + astamita	prefix-evidence		1					folded-miss
anatidfSya	anatidṛśya	2248	2	a + atidfSya	a + atidṛśya	unattested		0					folded-miss
anativyADya	anativyādhya	2251	2	a + ativyADya	a + ativyādhya	unattested		0					folded-miss
anatyudya	anatyudya	2252	2	a + atyudya	a + atyudya	unattested		0					folded-miss
anavAnam	anavānam	2434	2	a + avAna	a + avāna	unattested		0					folded-miss
anavAya	anavāya	2435	2	a + avAya	a + avāya	unattested		0					folded-miss
anavaBra	anavabhra	2413	2	a + avaBra	a + avabhra	prefix-evidence		2					folded-miss
anavaBrarADas	anavabhrarādhas	2414	2	anavaBra + rADas	anavabhra + rādhas	prefix-evidence		2					folded-miss
anavaDAna	anavadhāna	2405	2	a + avaDAna	a + avadhāna	unattested		0					folded-miss
anavaDarzya	anavadharṣya	2404	2	a + avaDarzya	a + avadharṣya	unattested		0					folded-miss
anavaDfzya	anavadhṛṣya	2409	2	a + avaDfzya	a + avadhṛṣya	unattested		0					folded-miss
anavaDi	anavadhi	2408	2	a + avaDi	a + avadhi	unattested		0					folded-miss
anavabrava	anavabrava	2412	2	a + avabrava	a + avabrava	unattested		0					folded-miss
anavadrARa	anavadrāṇa	2403	2	a + avadrARa	a + avadrāṇa	unattested		0					folded-miss
anavadya	anavadya	2399	2	a + avadya	a + avadya	prefix-evidence		5					folded-miss
