headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast
gadABft	gadābhṛt	21621	2	gadA + Bft	gadā + bhṛt
gadADara	gadādhara	21619	2	gadA + Dara	gadā + dhara
gadADara	gadādhara	72535	2	gada + aDara	gada + adhara
gadAKya	gadākhya	21615	2	gada + AKyA	gada + ākhyā
gadAgada	gadāgada	21616	2	gada + agada	gada + agada
gadAgraRI	gadāgraṇī	21618	2	gada + agraRI	gada + agraṇī
gadAgraja	gadāgraja	21617	2	gada + agraja	gada + agraja
gadAhva	gadāhva	21626	2	gada + AhvA	gada + āhvā
gadAmbara	gadāmbara	21622	2	gadA + ambara	gadā + ambara
gadArAti	gadārāti	21624	2	gada + arAti	gada + arāti
gadisiMha	gadisiṃha	21628	2	gadin + siMha	gadin + siṃha
gajADyakza	gajādhyakṣa	21423	2	gaja + aDyakza	gaja + adhyakṣa
gajAKya	gajākhya	21417	2	gaja + AKyA	gaja + ākhyā
gajARqa	gajāṇḍa	21420	2	gaja + aRqa	gaja + aṇḍa
gajASana	gajāśana	21426	2	gaja + aSana	gaja + aśana
gajAdana	gajādana	21421	2	gaja + adana	gaja + adana
gajAgraRI	gajāgraṇī	21418	2	gaja + agraRI	gaja + agraṇī
gajAhva	gajāhva	21429	2	gaja + AhvA	gaja + āhvā
gajAhvaya	gajāhvaya	21430	2	gaja + Ahvaya	gaja + āhvaya
gajAjIva	gajājīva	21419	2	gaja + AjIva	gaja + ājīva
gajAnana	gajānana	21424	2	gaja + Anana	gaja + ānana
gajAri	gajāri	21425	2	gaja + ari	gaja + ari
gajAsya	gajāsya	21428	2	gaja + Asya	gaja + āsya
gajIBU	gajībhū	72454	2	gaja + BU	gaja + bhū
gajaBakzyA	gajabhakṣyā	21400	2	gaja + Bakzya	gaja + bhakṣya
gajabanDanI	gajabandhanī	21397	2	gaja + banDana	gaja + bandhana
gajacCAyA	gajacchāyā	21378	2	gaja + CAyA	gaja + chāyā
gajadAna	gajadāna	21387	2	gaja + dAna	gaja + dāna
gajadanta	gajadanta	21383	2	gaja + danta	gaja + danta
gajadantaPalA	gajadantaphalā	21385	2	gajadanta + Pala	gajadanta + phala
gajakanyA	gajakanyā	21373	2	gaja + nI	gaja + nī
gajakarRa	gajakarṇa	21374	2	gaja + karRa	gaja + karṇa
gajamowana	gajamoṭana	21405	2	gaja + mowana	gaja + moṭana
gajamuKa	gajamukha	21404	2	gaja + muKa	gaja + mukha
gajamuktA	gajamuktā	21403	2	gaja + muktA	gaja + muktā
gajapati	gajapati	21390	2	gaja + pati	gaja + pati
gajapriyA	gajapriyā	21396	2	gaja + priyA	gaja + priyā
gajapura	gajapura	21394	2	gaja + pura	gaja + pura
gajapuwa	gajapuṭa	21393	2	gaja + puwa	gaja + puṭa
gajapuzpI	gajapuṣpī	21395	2	gaja + puzpa	gaja + puṣpa
gajasAhvaya	gajasāhvaya	21415	2	gaja + sAhvaya	gaja + sāhvaya
gajaskanDa	gajaskandha	21416	2	gaja + skanDa	gaja + skandha
gajavraja	gajavraja	21411	2	gaja + vraja	gaja + vraja
gajekzaRa	gajekṣaṇa	21431	2	gaja + IkzaRa	gaja + īkṣaṇa
gajendra	gajendra	21432	2	gaja + indra	gaja + indra
gajezwA	gajeṣṭā	21433	2	gaja + izwA	gaja + iṣṭā
gajodara	gajodara	21434	2	gaja + udara	gaja + udara
galANkura	galāṅkura	22069	2	gala + aNkura	gala + aṅkura
galOGa	galaugha	22085	2	gala + oGa	gala + ogha
galacarman	galacarman	22057	2	gala + carman	gala + carman
galadvAra	galadvāra	22058	2	gala + dvAra	gala + dvāra
galagaRqa	galagaṇḍa	22053	2	gala + gaRqa	gala + gaṇḍa
galagolin	galagolin	22055	2	gala + gola	gala + gola
galagraha	galagraha	22056	2	gala + graha	gala + graha
galahasta	galahasta	22068	2	gala + hasta	gala + hasta
galavArtta	galavārtta	22063	2	gala + vArttA	gala + vārttā
galavrata	galavrata	22065	2	gala + vrata	gala + vrata
galestanI	galestanī	22082	2	gale + stana	gale + stana
galitakuzWa	galitakuṣṭha	22075	2	galita + kuzWa	galita + kuṣṭha
galodBava	galodbhava	22084	2	gala + udBava	gala + udbhava
gamAtra	gamātra	21825	2	ga + mAtra	ga + mātra
gamakAritva	gamakāritva	21818	2	gama + kArin	gama + kārin
ganDADika	gandhādhika	21769	2	ganDa + aDika	gandha + adhika
ganDAKu	gandhākhu	21766	2	ganDa + AKu	gandha + ākhu
ganDAQya	gandhāḍhya	21768	2	ganDa + AQya	gandha + āḍhya
ganDASman	gandhāśman	21778	2	ganDa + aSman	gandha + aśman
ganDAhvA	gandhāhvā	21780	2	ganDa + AhvA	gandha + āhvā
ganDAjIva	gandhājīva	21767	2	ganDa + AjIva	gandha + ājīva
ganDAlA	gandhālā	21773	2	ganDa + Ala	gandha + āla
ganDAmlA	gandhāmlā	21770	2	ganDa + amlA	gandha + amlā
ganDAzwaka	gandhāṣṭaka	21779	2	ganDa + azwaka	gandha + aṣṭaka
ganDakandaka	gandhakandaka	21650	2	ganDa + kanda	gandha + kanda
ganDakelikA	gandhakelikā	21658	2	ganDa + keli	gandha + keli
ganDakokilA	gandhakokilā	21659	2	ganDa + kokila	gandha + kokila
ganDeBa	gandhebha	21786	2	ganDa + iBa	gandha + ibha
ganDeSa	gandheśa	72571	2	ganDa + ISa	gandha + īśa
ganDendriya	gandhendriya	21785	2	ganDa + indriya	gandha + indriya
ganDiparRa	gandhiparṇa	21784	2	ganDin + parRa	gandhin + parṇa
ganDoda	gandhoda	21790	2	ganDa + uda	gandha + uda
ganDotkawA	gandhotkaṭā	21788	2	ganDa + utkawA	gandha + utkaṭā
ganDotu	gandhotu	21787	2	ganDa + otu	gandha + otu
gaqotTa	gaḍottha	21456	2	gaqa + utTa	gaḍa + uttha
gaqukaRWa	gaḍukaṇṭha	21451	2	gaqu + kaRWa	gaḍu + kaṇṭha
garADikA	garādhikā	21868	2	gara + aDikA	gara + adhikā
garAtmaka	garātmaka	21867	2	gara + Atman	gara + ātman
garBADAna	garbhādhāna	22016	2	garBa + ADAna	garbha + ādhāna
garBANka	garbhāṅka	22014	2	garBa + aNka	garbha + aṅka
garBASaya	garbhāśaya	22018	2	garBa + ASaya	garbha + āśaya
garBAda	garbhāda	22015	2	garBa + ada	garbha + ada
garBAgAra	garbhāgāra	22013	2	garBa + AgAra	garbha + āgāra
garBAsrAva	garbhāsrāva	22021	2	garBa + AsrAva	garbha + āsrāva
garBAzwama	garbhāṣṭama	22019	2	garBa + azwama	garbha + aṣṭama
garBIkaraRa	garbhīkaraṇa	72655	2	garBa + kar	garbha + kar
garBaBAra	garbhabhāra	21982	2	garBa + BAra	garbha + bhāra
garBaBavana	garbhabhavana	21981	2	garBa + Bavana	garbha + bhavana
garBaDAna	garbhadhāna	21969	2	garBa + DAna	garbha + dhāna
garBaDa	garbhadha	21967	2	garBa + Da	garbha + dha
garBaDarA	garbhadharā	21968	2	garBa + DarA	garbha + dharā
garBaDi	garbhadhi	21971	2	garBa + Di	garbha + dhi
garBaRqa	garbhaṇḍa	21959	2	garBa + aRqa	garbha + aṇḍa
garBaSaNku	garbhaśaṅku	22002	2	garBa + SaNku	garbha + śaṅku
garBaSayyA	garbhaśayyā	22003	2	garBa + SayyA	garbha + śayyā
garBacyuti	garbhacyuti	21958	2	garBa + cyuti	garbha + cyuti
garBadAsa	garbhadāsa	21964	2	garBa + dAsa	garbha + dāsa
garBadAtrI	garbhadātrī	21963	2	garBa + dAtrI	garbha + dātrī
garBada	garbhada	21962	2	garBa + da	garbha + da
garBadivasa	garbhadivasa	21965	2	garBa + divasa	garbha + divasa
garBadruh	garbhadruh	21966	2	garBa + druh	garbha + druh
garBagfha	garbhagṛha	21954	2	garBa + gaha	garbha + gaha
garBakAla	garbhakāla	21950	2	garBa + kAla	garbha + kāla
garBakAra	garbhakāra	21949	2	garBa + kAra	garbha + kāra
garBakara	garbhakara	21947	2	garBa + kara	garbha + kara
garBakleSa	garbhakleśa	21952	2	garBa + kleSa	garbha + kleśa
garBakoza	garbhakoṣa	21951	2	garBa + koza	garbha + koṣa
garBakzaya	garbhakṣaya	21953	2	garBa + kzaya	garbha + kṣaya
garBamAsa	garbhamāsa	21984	2	garBa + mAsa	garbha + māsa
garBanAqI	garbhanāḍī	21972	2	garBa + nAqI	garbha + nāḍī
garBanud	garbhanud	21973	2	garBa + nud	garbha + nud
garBapAta	garbhapāta	21975	2	garBa + pAta	garbha + pāta
garBarUpa	garbharūpa	21989	2	garBa + rUpa	garbha + rūpa
garBarasa	garbharasa	21988	2	garBa + rasa	garbha + rasa
garBasTa	garbhastha	22010	2	garBa + sTa	garbha + stha
garBasUtra	garbhasūtra	22009	2	garBa + sUtra	garbha + sūtra
garBasrAva	garbhasrāva	22011	2	garBa + srAva	garbha + srāva
garBasrAvin	garbhasrāvin	22012	2	garBa + srAvin	garbha + srāvin
garBavAsa	garbhavāsa	21995	2	garBa + vAsa	garbha + vāsa
garBavyUha	garbhavyūha	22001	2	garBa + vyUha	garbha + vyūha
garBayozA	garbhayoṣā	21986	2	garBa + yozA	garbha + yoṣā
garBeSvara	garbheśvara	22025	2	garBa + ISvara	garbha + īśvara
garBotpatti	garbhotpatti	22026	2	garBa + utpatti	garbha + utpatti
garaGna	garaghna	21855	2	gara + Gna	gara + ghna
garadAna	garadāna	21859	2	gara + dAna	gara + dāna
garada	garada	21858	2	gara + da	gara + da
garagir	garagir	21853	2	gara + gir	gara + gir
garahan	garahan	21865	2	gara + han	gara + han
garalAri	garalāri	21862	2	garala + ari	garala + ari
garavrata	garavrata	21864	2	gara + vrata	gara + vrata
gargaBUmi	gargabhūmi	21892	2	garga + BUmi	garga + bhūmi
gargasrotas	gargasrotas	21896	2	garga + srotas	garga + srotas
garjAPala	garjāphala	21903	2	garjA + Pala	garjā + phala
gartASraya	gartāśraya	21913	2	garta + ASraya	garta + āśraya
gartAruh	gartāruh	21912	2	garta + Aruh	garta + āruh
gartamit	gartamit	21910	2	garta + mit	garta + mit
gartasad	gartasad	21911	2	garta + sad	garta + sad
garteSa	garteśa	21917	2	garta + ISa	garta + īśa
garuqANka	garuḍāṅka	21881	2	garuqa + aNka	garuḍa + aṅka
garuqANkita	garuḍāṅkita	21882	2	garuqa + aNkita	garuḍa + aṅkita
garuqASman	garuḍāśman	21884	2	garuqa + aSman	garuḍa + aśman
garuqArDa	garuḍārdha	21883	2	garuqa + arDa	garuḍa + ardha
garuqottIrRa	garuḍottīrṇa	21885	2	garuqa + uttIrRa	garuḍa + uttīrṇa
gatADvan	gatādhvan	21592	2	gata + aDvan	gata + adhvan
gatAgata	gatāgata	21590	2	gata + Agata	gata + āgata
gatAgati	gatāgati	21591	2	gata + Agati	gata + āgati
gatAkza	gatākṣa	21589	2	gata + akza	gata + akṣa
gatAnta	gatānta	21595	2	gata + anta	gata + anta
gatAnugata	gatānugata	21593	2	gata + anugata	gata + anugata
gatAnugatika	gatānugatika	21594	2	gata + anugati	gata + anugati
gatArTa	gatārtha	21598	2	gata + arTa	gata + artha
gatArtavA	gatārtavā	21597	2	gata + Artava	gata + ārtava
gatAsu	gatāsu	21599	2	gata + asu	gata + asu
gatAyus	gatāyus	21596	2	gata + Ayus	gata + āyus
gataSrI	gataśrī	21587	2	gata + SrI	gata + śrī
gatanAsika	gatanāsika	21582	2	gata + nAsikA	gata + nāsikā
gataprARa	gataprāṇa	21585	2	gata + prARa	gata + prāṇa
gataprAya	gataprāya	21586	2	gata + prAya	gata + prāya
gatasannaka	gatasannaka	21588	2	gata + sanna	gata + sanna
gatitAlin	gatitālin	21601	2	gati + tAla	gati + tāla
gavASira	gavāśira	22115	2	gava + ASir	gava + āśir
gavASva	gavāśva	22116	2	gava + aSva	gava + aśva
gavAcI	gavācī	22107	2	go + aYc	go + añc
gavAdana	gavādana	22108	2	gava + adana	gava + adana
gavAhnika	gavāhnika	22118	2	gava + Ahnika	gava + āhnika
gavAkza	gavākṣa	22103	2	gava + akza	gava + akṣa
gavAmfta	gavāmṛta	22110	2	gava + amfta	gava + amṛta
gavAvika	gavāvika	22113	2	gava + avika	gava + avika
gavEqaka	gavaiḍaka	22146	2	gava + eqaka	gava + eḍaka
gavISa	gavīśa	22130	2	go + ISa	go + īśa
gaveSa	gaveśa	22137	2	gava + ISa	gava + īśa
gaveSvara	gaveśvara	22139	2	gava + ISvara	gava + īśvara
gavendra	gavendra	22135	2	gava + indra	gava + indra
gavez	gaveṣ	22140	2	go + ez	go + eṣ
gaveza	gaveṣa	22141	2	go + eza	go + eṣa
gavezaRa	gaveṣaṇa	22142	2	go + ezaRa	go + eṣaṇa
gavezin	gaveṣin	22144	2	go + ezin	go + eṣin
gaviputra	gaviputra	22121	2	gavi + putra	gavi + putra
gaviz	gaviṣ	22122	2	go + iz	go + iṣ
gavizWa	gaviṣṭha	22125	2	gavi + sTa	gavi + stha
gavizwi	gaviṣṭi	22124	2	go + izwi	go + iṣṭi
gayaSAta	gayaśāta	21837	2	gaya + SAta	gaya + śāta
gayaSiras	gayaśiras	21838	2	gaya + Siras	gaya + śiras
gayasPAna	gayasphāna	21841	2	gaya + sPAna	gaya + sphāna
gayasPAti	gayasphāti	21840	2	gaya + sPAti	gaya + sphāti
gehaBU	gehabhū	22990	2	geha + BU	geha + bhū
gehadAha	gehadāha	22988	2	geha + dAha	geha + dāha
gehapati	gehapati	22989	2	geha + pati	geha + pati
geheDfzwa	gehedhṛṣṭa	22995	2	gehe + Dfzwa	gehe + dhṛṣṭa
geheSUra	geheśūra	23000	2	gehe + SUra	gehe + śūra
gehedfpta	gehedṛpta	22994	2	gehe + dfpta	gehe + dṛpta
gehemehin	gehemehin	22997	2	gehe + mehin	gehe + mehin
gehenardin	gehenardin	22996	2	gehe + nardin	gehe + nardin
gehevyAqa	gehevyāḍa	22999	2	gehe + vyAqa	gehe + vyāḍa
gehopavana	gehopavana	23001	2	geha + upavana	geha + upavana
gfDranaKI	gṛdhranakhī	22847	2	gfDra + naKa	gṛdhra + nakha
gfDrapati	gṛdhrapati	22848	2	gfDra + pati	gṛdhra + pati
gfDrapatra	gṛdhrapatra	22849	2	gfDra + patra	gṛdhra + patra
gfDrarAj	gṛdhrarāj	22852	2	gfDra + rAj	gṛdhra + rāj
gfDrasad	gṛdhrasad	22855	2	gfDra + sad	gṛdhra + sad
gfDravAja	gṛdhravāja	22854	2	gfDra + vAja	gṛdhra + vāja
gfDravawa	gṛdhravaṭa	22853	2	gfDra + vawa	gṛdhra + vaṭa
gfDrayAtu	gṛdhrayātu	22851	2	gfDra + yAtu	gṛdhra + yātu
gfhADipa	gṛhādhipa	22942	2	gfha + aDipa	gṛha + adhipa
gfhASman	gṛhāśman	22950	2	gfha + aSman	gṛha + aśman
gfhASrama	gṛhāśrama	22951	2	gfha + ASrama	gṛha + āśrama
gfhASrayA	gṛhāśrayā	22949	2	gfha + ASraya	gṛha + āśraya
gfhAgata	gṛhāgata	22941	2	gfha + Agata	gṛha + āgata
gfhAkza	gṛhākṣa	22940	2	gfha + akza	gṛha + akṣa
gfhAmla	gṛhāmla	22943	2	gfha + amla	gṛha + amla
gfhArAma	gṛhārāma	22945	2	gfha + ArAma	gṛha + ārāma
gfhArTa	gṛhārtha	22946	2	gfha + arTa	gṛha + artha
gfhAyanika	gṛhāyanika	22944	2	gfha + ayana	gṛha + ayana
gfhIBU	gṛhībhū	22961	2	gfha + BU	gṛha + bhū
gfhaBUmi	gṛhabhūmi	22913	2	gfha + BUmi	gṛha + bhūmi
gfhaDUma	gṛhadhūma	22896	2	gfha + DUma	gṛha + dhūma
gfhaSuka	gṛhaśuka	22935	2	gfha + Suka	gṛha + śuka
gfhabali	gṛhabali	22909	2	gfha + bali	gṛha + bali
gfhacCidra	gṛhacchidra	22886	2	gfha + Cidra	gṛha + chidra
gfhadAha	gṛhadāha	22891	2	gfha + dAha	gṛha + dāha
gfhadevI	gṛhadevī	22894	2	gfha + devI	gṛha + devī
gfhadruma	gṛhadruma	22895	2	gfha + druma	gṛha + druma
gfhagoDA	gṛhagodhā	22881	2	gfha + goDA	gṛha + godhā
gfhahan	gṛhahan	22939	2	gfha + han	gṛha + han
gfhajAlikA	gṛhajālikā	22888	2	gfha + jAla	gṛha + jāla
gfhaja	gṛhaja	22887	2	gfha + ja	gṛha + ja
gfhakArin	gṛhakārin	22876	2	gfha + kArin	gṛha + kārin
gfhakArya	gṛhakārya	22877	2	gfha + kArya	gṛha + kārya
gfhakanyA	gṛhakanyā	22871	2	gfha + kanyA	gṛha + kanyā
gfhakarman	gṛhakarman	22874	2	gfha + karman	gṛha + karman
gfhakartar	gṛhakartar	22873	2	gfha + kartar	gṛha + kartar
gfhakftya	gṛhakṛtya	22880	2	gfha + kftya	gṛha + kṛtya
gfhamAcikA	gṛhamācikā	22916	2	gfha + mAcikA	gṛha + mācikā
gfhamaRi	gṛhamaṇi	22915	2	gfha + maRi	gṛha + maṇi
gfhameDa	gṛhamedha	22919	2	gfha + meDa	gṛha + medha
gfhameGa	gṛhamegha	22918	2	gfha + meGa	gṛha + megha
gfhamfga	gṛhamṛga	22917	2	gfha + mfga	gṛha + mṛga
gfhanASana	gṛhanāśana	22898	2	gfha + nASana	gṛha + nāśana
gfhanIqa	gṛhanīḍa	22899	2	gfha + nIqa	gṛha + nīḍa
gfhanamana	gṛhanamana	22897	2	gfha + namana	gṛha + namana
gfhapAla	gṛhapāla	22904	2	gfha + pAla	gṛha + pāla
gfhapa	gṛhapa	22900	2	gfha + pa	gṛha + pa
gfhapati	gṛhapati	22901	2	gfha + pati	gṛha + pati
gfhapotaka	gṛhapotaka	22906	2	gfha + pota	gṛha + pota
gfharAja	gṛharāja	22928	2	gfha + rAja	gṛha + rāja
gfhasTURa	gṛhasthūṇa	22938	2	gfha + sTURA	gṛha + sthūṇā
gfhasTa	gṛhastha	22937	2	gfha + sTa	gṛha + stha
gfhatawI	gṛhataṭī	22890	2	gfha + tawI	gṛha + taṭī
gfhavAsa	gṛhavāsa	22932	2	gfha + vAsa	gṛha + vāsa
gfhavitta	gṛhavitta	22933	2	gfha + vitta	gṛha + vitta
gfhayantra	gṛhayantra	22925	2	gfha + yantra	gṛha + yantra
gfheSa	gṛheśa	22966	2	gfha + ISa	gṛha + īśa
gfheSvara	gṛheśvara	22967	2	gfha + ISvara	gṛha + īśvara
gfheruha	gṛheruha	22964	2	gfhe + ruha	gṛhe + ruha
gfhyagranTa	gṛhyagrantha	22973	2	gfhya + granTa	gṛhya + grantha
gfhyasUtra	gṛhyasūtra	22974	2	gfhya + sUtra	gṛhya + sūtra
gftsamada	gṛtsamada	22834	2	gftsa + mada	gṛtsa + mada
gftsamati	gṛtsamati	22833	2	gftsa + mati	gṛtsa + mati
gftsapati	gṛtsapati	22832	2	gftsa + pati	gṛtsa + pati
gilagrAha	gilagrāha	22464	2	gila + grAha	gila + grāha
girISa	girīśa	22452	2	giri + ISa	giri + īśa
girISa	girīśa	22453	2	gir + ISa	gir + īśa
girIndra	girīndra	22450	2	giri + indra	giri + indra
giriBU	giribhū	22423	2	giri + BU	giri + bhū
giriBid	giribhid	22422	2	giri + Bid	giri + bhid
giriBraj	giribhraj	22424	2	giri + Braj	giri + bhraj
giriDAtu	giridhātu	22404	2	giri + DAtu	giri + dhātu
giriDvaja	giridhvaja	22405	2	giri + Dvaja	giri + dhvaja
giriRaKa	giriṇakha	22397	2	giri + naKa	giri + nakha
giriRadDa	giriṇaddha	22399	2	giri + nadDa	giri + naddha
giriRadI	giriṇadī	22398	2	giri + nadI	giri + nadī
giriSAla	giriśāla	22438	2	giri + SAlA	giri + śālā
giriSa	giriśa	22435	2	giri + Sa	giri + śa
giriSanta	giriśanta	22436	2	giri + Santa	giri + śanta
giriSaya	giriśaya	22437	2	giri + Saya	giri + śaya
giriSfNga	giriśṛṅga	22440	2	giri + SfNga	giri + śṛṅga
giribuDna	giribudhna	22421	2	giri + buDna	giri + budhna
giricara	giricara	22391	2	giri + cara	giri + cara
giridurga	giridurga	22402	2	giri + durga	giri + durga
giridvAra	giridvāra	22403	2	giri + dvAra	giri + dvāra
giriguqa	giriguḍa	22389	2	giri + guqa	giri + guḍa
girihvA	girihvā	22449	2	giri + hvA	giri + hvā
girijAla	girijāla	22395	2	giri + jAla	giri + jāla
girija	girija	22393	2	giri + ja	giri + ja
girijvara	girijvara	22396	2	giri + jvara	giri + jvara
girikacCapa	girikacchapa	22378	2	giri + kacCapa	giri + kacchapa
girikarRA	girikarṇā	22382	2	giri + karRa	giri + karṇa
girikarRI	girikarṇī	22384	2	giri + karRa	giri + karṇa
girikarRikA	girikarṇikā	22383	2	giri + karRikA	giri + karṇikā
girikzipa	girikṣipa	22387	2	giri + kzipa	giri + kṣipa
girikzit	girikṣit	22386	2	giri + kzit	giri + kṣit
girimAla	girimāla	22427	2	giri + mAlA	giri + mālā
girimAna	girimāna	22426	2	giri + mAna	giri + māna
girimfd	girimṛd	22428	2	giri + mfd	giri + mṛd
giripIlu	giripīlu	22413	2	giri + pIlu	giri + pīlu
giripfzWa	giripṛṣṭha	22416	2	giri + pfzWa	giri + pṛṣṭha
giripriya	giripriya	22419	2	giri + priya	giri + priya
giripura	giripura	22414	2	giri + pura	giri + pura
giripuzpaka	giripuṣpaka	22415	2	giri + puzpaka	giri + puṣpaka
girirAj	girirāj	22432	2	giri + rAj	giri + rāj
girisAra	girisāra	22444	2	giri + sAra	giri + sāra
girisarpa	girisarpa	22443	2	giri + sarpa	giri + sarpa
girisena	girisena	22447	2	giri + senA	giri + senā
girisravA	girisravā	22448	2	giri + srava	giri + srava
girisutA	girisutā	22446	2	giri + sutA	giri + sutā
giritra	giritra	22401	2	giri + tra	giri + tra
girivraja	girivraja	22434	2	giri + vraja	giri + vraja
girizWA	giriṣṭhā	22442	2	giri + sTA	giri + sthā
girizad	giriṣad	22441	2	giri + sad	giri + sad
girvAhas	girvāhas	22460	2	gir + vAhas	gir + vāhas
girvaRas	girvaṇas	22456	2	gir + vanas	gir + vanas
girvaRasyu	girvaṇasyu	22457	2	gir + vanasyu	gir + vanasyu
girvavAh	girvavāh	22459	2	girvan + vAh	girvan + vāh
giryAhvA	giryāhvā	22455	2	giri + AhvA	giri + āhvā
goBAnu	gobhānu	23250	2	go + BAnu	go + bhānu
goBft	gobhṛt	23254	2	go + Bft	go + bhṛt
goDApadI	godhāpadī	23137	2	goDA + pada	godhā + pada
goDAskanDa	godhāskandha	23141	2	goDA + skanDa	godhā + skandha
goDAvIRAkA	godhāvīṇākā	23140	2	goDA + vIRA	godhā + vīṇā
goDAyas	godhāyas	23139	2	go + DAyas	go + dhāyas
goDUli	godhūli	23150	2	go + DUli	go + dhūli
goDana	godhana	23130	2	go + Dana	go + dhana
goDara	godhara	23132	2	go + Dara	go + dhara
goDarma	godharma	23133	2	go + Darma	go + dharma
goDas	godhas	23134	2	go + Das	go + dhas
goDenu	godhenu	23151	2	go + Denu	go + dhenu
goDikAtmaja	godhikātmaja	23144	2	goDikA + Atmaja	godhikā + ātmaja
goGAta	goghāta	23045	2	go + GAta	go + ghāta
goGfta	goghṛta	23048	2	go + Gfta	go + ghṛta
goGna	goghna	23049	2	go + Gna	go + ghna
goKura	gokhura	23039	2	go + Kura	go + khura
goPaRA	gophaṇā	23244	2	go + PaRA	go + phaṇā
goRqavana	goṇḍavana	23083	2	goRqa + vana	goṇḍa + vana
goSAla	gośāla	23403	2	go + SAlA	go + śālā
goSIrza	gośīrṣa	23405	2	go + SIrza	go + śīrṣa
goSaPa	gośapha	23401	2	go + SaPa	go + śapha
goSfNga	gośṛṅga	23407	2	go + SfNga	go + śṛṅga
goSrIta	gośrīta	23410	2	go + SrIta	go + śrīta
goSruti	gośruti	23411	2	go + Sruti	go + śruti
goSva	gośva	23412	2	go + aSva	go + aśva
goaSva	goaśva	23016	2	go + aSva	go + aśva
goagra	goagra	23012	2	go + agra	go + agra
goarGa	goargha	23014	2	go + arGa	go + argha
gobAla	gobāla	23247	2	go + bAla	go + bāla
gobaka	gobaka	23245	2	go + baka	go + baka
gocara	gocara	23053	2	go + cara	go + cara
godA	godā	23116	2	go + dA	go + dā
godAna	godāna	23117	2	go + dAna	go + dāna
godAvarI	godāvarī	23122	2	go + dAvarI	go + dāvarī
godAya	godāya	23120	2	go + dAya	go + dāya
goda	goda	23111	2	go + da	go + da
godanta	godanta	23114	2	go + danta	go + danta
godari	godari	23115	2	go + dari	go + dari
godatra	godatra	23113	2	go + datra	go + datra
godoha	godoha	23127	2	go + doha	go + doha
godohana	godohana	23128	2	go + dohana	go + dohana
godrava	godrava	23129	2	go + drava	go + drava
godugDa	godugdha	23123	2	go + dugDa	go + dugdha
goduh	goduh	23125	2	go + duh	go + duh
gogfzwi	gogṛṣṭi	23041	2	go + gfzwi	go + gṛṣṭi
gohan	gohan	23479	2	go + han	go + han
gohanna	gohanna	23481	2	go + hanna	go + hanna
gohara	gohara	23483	2	go + hara	go + hara
gohatyA	gohatyā	23478	2	go + hatyA	go + hatyā
gohita	gohita	23485	2	go + hita	go + hita
gojA	gojā	23062	2	go + jA	go + jā
gojAgarika	gojāgarika	23063	2	go + jAgarika	go + jāgarika
gojAparRI	gojāparṇī	23065	2	gojA + parRa	gojā + parṇa
gojAta	gojāta	23064	2	go + jAta	go + jāta
gojIra	gojīra	23070	2	go + jIra	go + jīra
gojala	gojala	23060	2	go + jala	go + jala
gojara	gojara	23059	2	go + jara	go + jara
gojavAja	gojavāja	23061	3	go + aja + vAja	go + aja + vāja
gojihvA	gojihvā	23068	2	go + jihvA	go + jihvā
gojit	gojit	23067	2	go + jit	go + jit
gokAma	gokāma	23024	2	go + kAma	go + kāma
gokAmuKa	gokāmukha	23025	2	gokA + muKa	gokā + mukha
gokaRwa	gokaṇṭa	23020	2	go + kaRwa	go + kaṇṭa
gokakza	gokakṣa	23019	2	go + kakza	go + kakṣa
gokarRa	gokarṇa	23022	2	go + karRa	go + karṇa
gokfta	gokṛta	23034	2	go + kfta	go + kṛta
gokula	gokula	23029	2	go + kula	go + kula
gokzIra	gokṣīra	23035	2	go + kzIra	go + kṣīra
gokzura	gokṣura	23036	2	go + kzura	go + kṣura
golANka	golāṅka	23336	2	gola + aNka	gola + aṅka
golIQa	golīḍha	23342	2	go + lIQa	go + līḍha
golayantra	golayantra	23334	2	gola + yantra	gola + yantra
goliha	goliha	23340	2	go + liha	go + liha
goloka	goloka	23343	2	go + loka	go + loka
golomikA	golomikā	23344	2	go + loman	go + loman
gomAtar	gomātar	23277	2	go + mAtar	go + mātar
gomAyu	gomāyu	23278	2	go + mAyu	go + māyu
gomBas	gombhas	23292	2	go + amBas	go + ambhas
gomIna	gomīna	23283	2	go + mIna	go + mīna
gomUtra	gomūtra	23285	2	go + mUtra	go + mūtra
gomaGa	gomagha	23256	2	go + maGa	go + magha
gomaTa	gomatha	23264	2	go + maTa	go + matha
gomayacCatra	gomayacchatra	23271	2	gomaya + Catra	gomaya + chatra
gomayapAyasIya	gomayapāyasīya	73070	2	gomaya + pAyasa	gomaya + pāyasa
gomayodBava	gomayodbhava	23275	2	gomaya + udBava	gomaya + udbhava
gomayotTA	gomayotthā	23274	2	gomaya + utTA	gomaya + utthā
gomeDa	gomedha	23291	2	go + meDa	go + medha
gomfga	gomṛga	23287	2	go + mfga	go + mṛga
gonATa	gonātha	23160	2	go + nATa	go + nātha
gonAsa	gonāsa	23162	2	go + nAsA	go + nāsā
gonAya	gonāya	23161	2	go + nAya	go + nāya
gonanda	gonanda	23155	2	go + nanda	go + nanda
gonarda	gonarda	23156	2	go + narda	go + narda
gonasa	gonasa	23158	2	go + nas	go + nas
gopA	gopā	23190	2	go + pA	go + pā
gopADyakza	gopādhyakṣa	23194	2	gopa + aDyakza	gopa + adhyakṣa
